Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 1402.792, 16.661, 0.390
1, 32, 40, 12, 882.607, 18.673, 0.547
1, 32, 60, 11, 875.965, 18.706, 0.549
1, 32, 80, 11, 875.129, 18.710, 0.550
1, 32, 100, 14, 843.261, 18.871, 0.552
1, 64, 100, 14, 841.177, 18.882, 0.555
1, 128, 100, 14, 840.097, 18.888, 0.556
2, 32, 40, 8, 378.826, 22.346, 0.599
2, 32, 60, 5, 375.500, 22.385, 0.598
2, 32, 100, 2, 356.101, 22.615, 0.597
2, 64, 100, 2, 354.031, 22.640, 0.602
2, 128, 100, 2, 352.061, 22.665, 0.603
