Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 818.670, 19.000, 0.415
1, 32, 40, 12, 330.351, 22.941, 0.589
1, 32, 60, 11, 327.512, 22.979, 0.592
1, 32, 80, 11, 326.348, 22.994, 0.593
1, 32, 100, 11, 324.360, 23.021, 0.592
1, 32, 120, 8, 322.773, 23.042, 0.597
1, 32, 140, 8, 322.755, 23.042, 0.597
1, 32, 160, 10, 321.362, 23.061, 0.599
1, 32, 180, 10, 321.337, 23.061, 0.599
1, 64, 80, 11, 320.787, 23.069, 0.598
1, 64, 100, 11, 319.302, 23.089, 0.597
1, 64, 120, 11, 315.723, 23.138, 0.604
1, 64, 140, 11, 315.715, 23.138, 0.604
2, 64, 100, 2, 311.632, 23.194, 0.611
2, 128, 100, 2, 311.562, 23.195, 0.612
