Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 784.615, 19.184, 0.423
1, 32, 40, 12, 317.242, 23.117, 0.597
1, 32, 60, 11, 314.666, 23.152, 0.600
1, 32, 80, 11, 313.580, 23.167, 0.601
1, 32, 100, 11, 311.782, 23.192, 0.600
1, 32, 120, 8, 310.031, 23.217, 0.605
1, 32, 140, 8, 310.012, 23.217, 0.605
1, 32, 160, 8, 309.800, 23.220, 0.605
1, 32, 180, 8, 309.788, 23.220, 0.605
1, 64, 60, 11, 309.631, 23.222, 0.604
1, 64, 80, 11, 308.846, 23.233, 0.605
1, 64, 100, 11, 307.079, 23.258, 0.604
1, 64, 120, 8, 305.508, 23.281, 0.609
1, 64, 140, 8, 305.498, 23.281, 0.609
1, 64, 160, 8, 305.311, 23.283, 0.609
1, 64, 180, 8, 305.290, 23.284, 0.609
1, 128, 120, 10, 303.419, 23.310, 0.611
1, 128, 140, 10, 303.411, 23.310, 0.611
2, 64, 100, 2, 299.922, 23.361, 0.619
2, 128, 100, 2, 298.938, 23.375, 0.620
