Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 782.816, 19.194, 0.423
1, 32, 40, 12, 318.132, 23.105, 0.597
1, 32, 60, 11, 315.647, 23.139, 0.599
1, 32, 80, 11, 314.590, 23.153, 0.600
1, 32, 100, 11, 312.716, 23.179, 0.599
1, 32, 120, 8, 310.876, 23.205, 0.604
1, 32, 140, 8, 310.859, 23.205, 0.604
1, 32, 160, 8, 310.688, 23.208, 0.605
1, 32, 180, 8, 310.660, 23.208, 0.605
1, 64, 100, 11, 309.146, 23.229, 0.603
1, 64, 120, 8, 307.613, 23.251, 0.608
1, 64, 140, 8, 307.606, 23.251, 0.608
1, 64, 160, 8, 307.397, 23.254, 0.608
1, 64, 180, 8, 307.360, 23.254, 0.608
1, 128, 120, 10, 306.507, 23.266, 0.610
1, 128, 140, 10, 306.489, 23.267, 0.610
2, 32, 100, 2, 305.420, 23.282, 0.613
2, 64, 100, 2, 301.936, 23.332, 0.618
2, 128, 100, 2, 301.347, 23.340, 0.619
