Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 1646.952, 15.964, 0.297
1, 32, 40, 20, 589.339, 20.427, 0.466
1, 32, 60, 15, 584.719, 20.461, 0.468
1, 32, 80, 15, 583.419, 20.471, 0.468
1, 32, 100, 16, 577.488, 20.515, 0.467
1, 32, 120, 16, 572.224, 20.555, 0.473
1, 32, 140, 16, 572.193, 20.555, 0.473
1, 64, 120, 16, 568.705, 20.582, 0.475
1, 64, 140, 16, 568.687, 20.582, 0.475
1, 64, 160, 16, 568.442, 20.584, 0.475
1, 64, 180, 16, 568.377, 20.584, 0.475
1, 128, 120, 16, 567.678, 20.590, 0.476
1, 128, 140, 16, 567.666, 20.590, 0.476
1, 128, 160, 16, 567.406, 20.592, 0.476
1, 128, 180, 16, 567.343, 20.592, 0.476
2, 32, 40, 11, 494.613, 21.188, 0.518
2, 32, 100, 7, 487.488, 21.251, 0.517
2, 64, 100, 7, 484.019, 21.282, 0.522
2, 128, 100, 7, 483.057, 21.291, 0.523
2, 256, 100, 7, 482.959, 21.292, 0.524
