Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 780.099, 19.209, 0.424
1, 32, 40, 12, 314.849, 23.150, 0.598
1, 32, 60, 11, 312.184, 23.187, 0.601
1, 32, 80, 11, 311.184, 23.201, 0.602
1, 32, 100, 11, 309.298, 23.227, 0.601
1, 32, 120, 8, 307.725, 23.249, 0.606
1, 32, 140, 8, 307.683, 23.250, 0.606
1, 32, 160, 8, 307.541, 23.252, 0.606
1, 32, 180, 8, 307.522, 23.252, 0.606
1, 64, 100, 11, 305.873, 23.275, 0.605
1, 64, 120, 8, 304.209, 23.299, 0.610
1, 64, 140, 8, 304.190, 23.299, 0.610
1, 64, 160, 10, 303.084, 23.315, 0.611
1, 64, 180, 10, 303.054, 23.316, 0.611
2, 32, 100, 2, 302.312, 23.326, 0.615
2, 64, 100, 2, 298.982, 23.374, 0.620
