Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 1036.877, 17.974, 0.375
1, 32, 40, 12, 394.622, 22.169, 0.550
1, 32, 60, 15, 383.672, 22.291, 0.558
1, 32, 100, 15, 381.253, 22.319, 0.556
1, 32, 120, 12, 379.480, 22.339, 0.561
1, 32, 140, 12, 379.451, 22.339, 0.561
1, 32, 160, 12, 379.183, 22.342, 0.561
1, 32, 180, 12, 379.164, 22.343, 0.561
1, 64, 60, 15, 377.293, 22.364, 0.562
1, 64, 80, 15, 376.715, 22.371, 0.562
1, 64, 100, 15, 375.151, 22.389, 0.560
1, 64, 120, 12, 373.044, 22.413, 0.565
1, 64, 140, 12, 373.015, 22.414, 0.565
1, 64, 160, 12, 372.850, 22.415, 0.565
1, 64, 180, 12, 372.837, 22.416, 0.565
2, 32, 40, 9, 362.853, 22.533, 0.590
2, 32, 60, 6, 361.759, 22.547, 0.588
2, 32, 100, 4, 357.640, 22.596, 0.585
2, 64, 40, 9, 357.601, 22.597, 0.595
2, 64, 60, 6, 356.592, 22.609, 0.594
2, 64, 100, 3, 350.974, 22.678, 0.587
