Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 3828.798, 12.300, 0.287
1, 32, 40, 7, 3318.540, 12.921, 0.361
1, 32, 60, 10, 3201.620, 13.077, 0.372
1, 32, 100, 13, 3092.228, 13.228, 0.378
1, 64, 100, 14, 3089.366, 13.232, 0.381
1, 128, 100, 14, 3088.620, 13.233, 0.382
2, 32, 40, 16, 872.800, 18.722, 0.550
2, 32, 100, 13, 851.330, 18.830, 0.548
2, 64, 100, 13, 851.093, 18.831, 0.553
2, 128, 100, 12, 850.756, 18.833, 0.556
2, 128, 160, 19, 850.383, 18.835, 0.551
2, 256, 100, 22, 838.140, 18.898, 0.553
3, 32, 40, 11, 600.299, 20.347, 0.512
3, 32, 60, 8, 598.287, 20.362, 0.512
3, 32, 100, 6, 589.524, 20.426, 0.513
