Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 1566.462, 16.182, 0.364
1, 32, 40, 12, 955.963, 18.326, 0.498
1, 32, 60, 11, 947.123, 18.367, 0.501
1, 32, 80, 15, 923.248, 18.478, 0.506
1, 32, 100, 20, 896.704, 18.604, 0.509
1, 64, 100, 22, 893.096, 18.622, 0.512
2, 32, 40, 10, 367.018, 22.484, 0.569
2, 32, 60, 6, 366.966, 22.485, 0.567
2, 32, 100, 4, 363.346, 22.528, 0.565
2, 64, 40, 10, 362.983, 22.532, 0.574
2, 64, 60, 8, 362.958, 22.532, 0.574
2, 64, 100, 4, 358.086, 22.591, 0.571
2, 128, 100, 4, 357.901, 22.593, 0.573
