Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 2772.085, 13.703, 0.324
1, 32, 40, 12, 2191.549, 14.723, 0.439
1, 32, 60, 10, 2178.697, 14.749, 0.440
1, 32, 100, 13, 2100.446, 14.908, 0.446
1, 64, 100, 14, 2098.362, 14.912, 0.448
1, 128, 100, 14, 2097.113, 14.915, 0.449
2, 32, 40, 10, 629.754, 20.139, 0.578
2, 32, 100, 5, 622.548, 20.189, 0.577
2, 64, 100, 7, 620.380, 20.204, 0.582
2, 128, 100, 7, 618.110, 20.220, 0.584
3, 32, 40, 9, 529.689, 20.891, 0.526
3, 32, 60, 6, 526.781, 20.915, 0.528
3, 32, 100, 2, 505.100, 21.097, 0.547
3, 64, 100, 2, 503.477, 21.111, 0.554
3, 128, 100, 2, 500.085, 21.140, 0.557
