Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 1101.338, 17.712, 0.367
1, 32, 40, 20, 408.579, 22.018, 0.535
1, 32, 60, 15, 405.354, 22.052, 0.537
1, 32, 80, 15, 404.417, 22.063, 0.538
1, 32, 120, 12, 400.040, 22.110, 0.540
1, 32, 140, 12, 400.027, 22.110, 0.540
1, 32, 160, 12, 399.604, 22.115, 0.541
1, 64, 120, 12, 397.534, 22.137, 0.543
1, 64, 140, 12, 397.517, 22.137, 0.543
1, 64, 160, 12, 397.115, 22.142, 0.543
2, 32, 40, 9, 369.643, 22.453, 0.562
2, 32, 60, 6, 369.153, 22.459, 0.561
2, 32, 100, 4, 368.343, 22.468, 0.559
2, 64, 40, 10, 366.135, 22.494, 0.568
2, 64, 60, 6, 365.415, 22.503, 0.567
2, 64, 100, 4, 363.208, 22.529, 0.566
2, 256, 100, 4, 362.849, 22.534, 0.568
