Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 1646.952, 15.964, 0.297
1, 32, 40, 20, 508.154, 21.071, 0.491
1, 32, 60, 19, 500.893, 21.133, 0.494
1, 32, 100, 16, 492.825, 21.204, 0.491
1, 64, 100, 17, 488.737, 21.240, 0.493
1, 128, 100, 17, 487.702, 21.249, 0.494
1, 256, 100, 17, 487.409, 21.252, 0.494
1, 256, 120, 16, 487.265, 21.253, 0.501
1, 256, 140, 16, 487.254, 21.253, 0.501
1, 256, 160, 16, 487.116, 21.254, 0.501
1, 256, 180, 16, 487.100, 21.255, 0.501
1, 256, 200, 16, 487.088, 21.255, 0.501
2, 32, 40, 11, 423.317, 21.864, 0.537
2, 32, 100, 5, 417.824, 21.921, 0.532
2, 64, 100, 6, 412.918, 21.972, 0.540
2, 128, 100, 6, 410.890, 21.994, 0.541
2, 256, 100, 6, 409.666, 22.006, 0.542
