Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 947.525, 18.365, 0.393
1, 32, 40, 12, 357.139, 22.602, 0.551
1, 32, 60, 15, 345.060, 22.752, 0.559
1, 32, 80, 15, 344.381, 22.760, 0.559
1, 32, 120, 12, 339.772, 22.819, 0.563
1, 32, 140, 12, 339.745, 22.819, 0.563
1, 32, 160, 12, 339.575, 22.821, 0.563
1, 64, 120, 12, 335.296, 22.877, 0.566
1, 64, 140, 12, 335.273, 22.877, 0.566
1, 64, 160, 12, 335.053, 22.880, 0.566
1, 128, 160, 12, 334.986, 22.881, 0.567
1, 128, 180, 12, 334.979, 22.881, 0.567
1, 256, 160, 12, 334.846, 22.882, 0.567
1, 256, 180, 12, 334.843, 22.882, 0.567
2, 32, 40, 8, 328.485, 22.966, 0.579
2, 32, 60, 6, 328.369, 22.967, 0.579
2, 32, 100, 2, 324.574, 23.018, 0.568
2, 64, 60, 6, 324.397, 23.020, 0.584
2, 64, 100, 3, 320.334, 23.075, 0.579
2, 128, 100, 3, 318.551, 23.099, 0.581
2, 256, 100, 3, 317.588, 23.112, 0.582
