Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 2682.852, 13.845, 0.236
1, 32, 40, 32, 1309.012, 16.961, 0.340
1, 32, 60, 32, 1276.935, 17.069, 0.344
1, 32, 80, 35, 1273.637, 17.080, 0.344
1, 32, 100, 35, 1263.575, 17.115, 0.346
1, 64, 100, 35, 1263.519, 17.115, 0.347
1, 64, 120, 33, 1251.860, 17.155, 0.348
1, 64, 140, 33, 1251.850, 17.155, 0.348
2, 32, 40, 32, 840.926, 18.883, 0.414
2, 32, 60, 27, 839.795, 18.889, 0.414
2, 32, 100, 23, 839.626, 18.890, 0.412
2, 32, 120, 24, 835.333, 18.912, 0.413
2, 32, 140, 24, 835.143, 18.913, 0.413
2, 64, 100, 31, 833.798, 18.920, 0.415
2, 64, 180, 25, 833.492, 18.922, 0.415
2, 64, 200, 25, 833.480, 18.922, 0.415
3, 32, 40, 11, 779.538, 19.212, 0.415
3, 64, 40, 13, 778.119, 19.220, 0.419
