Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 100, 28, 1169.461, 17.451, 0.334
1, 32, 120, 20, 1149.625, 17.525, 0.334
1, 32, 140, 20, 1149.555, 17.526, 0.334
1, 32, 160, 20, 1149.057, 17.527, 0.334
1, 32, 180, 20, 1148.946, 17.528, 0.334
1, 64, 120, 20, 1138.739, 17.567, 0.336
1, 64, 140, 20, 1138.669, 17.567, 0.336
1, 64, 160, 20, 1138.157, 17.569, 0.336
1, 64, 180, 20, 1138.066, 17.569, 0.336
1, 256, 120, 20, 1134.232, 17.584, 0.336
1, 256, 140, 20, 1134.166, 17.584, 0.336
1, 256, 160, 20, 1133.736, 17.586, 0.336
1, 256, 180, 20, 1133.631, 17.586, 0.336
2, 32, 100, 35, 658.513, 19.945, 0.417
2, 64, 100, 39, 649.388, 20.006, 0.420
2, 128, 100, 38, 648.824, 20.010, 0.421
2, 256, 100, 38, 648.508, 20.012, 0.421
3, 32, 100, 8, 633.565, 20.113, 0.423
3, 64, 40, 14, 629.124, 20.143, 0.428
3, 64, 100, 8, 627.759, 20.153, 0.427
3, 128, 100, 9, 625.852, 20.166, 0.429
