Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 100, 20, 726.930, 19.516, 0.418
1, 32, 120, 16, 707.642, 19.633, 0.420
1, 32, 140, 16, 707.596, 19.633, 0.420
1, 32, 160, 17, 706.605, 19.639, 0.420
1, 32, 180, 17, 706.603, 19.639, 0.420
1, 64, 120, 16, 697.924, 19.693, 0.422
1, 64, 140, 16, 697.859, 19.693, 0.422
1, 64, 160, 16, 697.462, 19.696, 0.422
1, 64, 180, 16, 697.402, 19.696, 0.422
1, 256, 120, 20, 694.970, 19.711, 0.423
1, 256, 140, 20, 694.934, 19.711, 0.423
2, 32, 100, 15, 493.578, 21.197, 0.480
2, 64, 40, 20, 490.467, 21.225, 0.483
2, 64, 100, 15, 486.556, 21.259, 0.484
2, 256, 100, 15, 485.493, 21.269, 0.486
