Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 1663.912, 15.919, 0.199
1, 32, 40, 8, 1386.692, 16.711, 0.317
1, 32, 60, 10, 1334.704, 16.877, 0.334
1, 32, 100, 12, 1286.322, 17.037, 0.342
1, 64, 100, 14, 1280.727, 17.056, 0.350
2, 32, 40, 16, 341.949, 22.791, 0.633
2, 32, 60, 13, 341.320, 22.799, 0.634
2, 32, 80, 17, 336.311, 22.863, 0.639
2, 32, 100, 13, 330.716, 22.936, 0.638
2, 32, 180, 17, 330.547, 22.938, 0.643
2, 32, 200, 17, 330.512, 22.939, 0.643
2, 64, 100, 20, 319.874, 23.081, 0.661
