Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 656.821, 19.956, 0.276
1, 32, 40, 8, 383.374, 22.295, 0.509
1, 32, 60, 7, 370.191, 22.447, 0.526
1, 32, 80, 7, 370.080, 22.448, 0.527
1, 32, 100, 12, 353.300, 22.649, 0.538
1, 64, 100, 12, 348.116, 22.714, 0.552
1, 64, 160, 11, 347.881, 22.716, 0.565
1, 64, 180, 11, 347.849, 22.717, 0.565
1, 64, 200, 11, 347.848, 22.717, 0.565
1, 128, 100, 12, 347.816, 22.717, 0.553
1, 128, 160, 11, 347.585, 22.720, 0.567
1, 128, 180, 11, 347.552, 22.721, 0.567
1, 128, 200, 11, 347.550, 22.721, 0.567
2, 32, 40, 8, 124.218, 27.189, 0.687
2, 32, 100, 4, 121.476, 27.286, 0.678
2, 64, 40, 10, 118.085, 27.409, 0.715
2, 64, 100, 4, 116.229, 27.478, 0.701
2, 128, 100, 4, 115.791, 27.494, 0.707
