Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 100, 11, 141.846, 26.613, 0.564
1, 32, 120, 8, 139.904, 26.672, 0.573
1, 32, 140, 8, 139.884, 26.673, 0.574
1, 32, 160, 8, 139.617, 26.681, 0.575
1, 32, 180, 8, 139.603, 26.682, 0.575
1, 32, 200, 8, 139.598, 26.682, 0.575
1, 64, 60, 13, 137.301, 26.754, 0.581
1, 64, 100, 11, 137.183, 26.758, 0.577
1, 64, 120, 8, 135.579, 26.809, 0.587
1, 64, 140, 8, 135.570, 26.809, 0.587
1, 64, 160, 8, 135.277, 26.819, 0.588
1, 64, 180, 8, 135.256, 26.819, 0.589
1, 64, 200, 8, 135.255, 26.819, 0.589
1, 128, 120, 9, 134.385, 26.847, 0.591
1, 128, 140, 9, 134.374, 26.848, 0.591
1, 128, 160, 9, 134.151, 26.855, 0.592
1, 128, 180, 9, 134.133, 26.855, 0.593
1, 128, 200, 9, 134.133, 26.855, 0.593
2, 32, 100, 5, 121.556, 27.283, 0.672
2, 64, 40, 9, 118.623, 27.389, 0.694
2, 64, 100, 5, 117.947, 27.414, 0.691
2, 128, 40, 10, 117.757, 27.421, 0.701
2, 128, 100, 5, 117.114, 27.445, 0.695
