Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 100, 8, 126.156, 27.122, 0.593
1, 32, 120, 8, 123.862, 27.201, 0.609
1, 32, 160, 8, 123.658, 27.209, 0.610
1, 32, 180, 8, 123.641, 27.209, 0.610
1, 64, 80, 11, 121.621, 27.281, 0.615
1, 64, 100, 9, 121.070, 27.300, 0.610
1, 64, 120, 8, 119.377, 27.362, 0.624
1, 64, 140, 8, 119.376, 27.362, 0.624
1, 64, 160, 8, 119.166, 27.369, 0.625
1, 64, 180, 8, 119.147, 27.370, 0.625
1, 128, 120, 8, 119.018, 27.375, 0.626
1, 128, 140, 8, 119.018, 27.375, 0.626
1, 128, 160, 8, 118.784, 27.383, 0.627
1, 128, 180, 8, 118.761, 27.384, 0.627
2, 32, 100, 7, 106.337, 27.864, 0.714
2, 64, 40, 9, 104.233, 27.951, 0.727
2, 64, 60, 7, 104.231, 27.951, 0.726
2, 64, 80, 7, 104.172, 27.953, 0.728
2, 64, 100, 6, 102.993, 28.003, 0.728
2, 128, 100, 6, 102.327, 28.031, 0.733
2, 256, 100, 6, 102.297, 28.032, 0.733
