Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 40, 10, 131.491, 26.942, 0.582
1, 32, 60, 7, 131.481, 26.942, 0.582
1, 32, 80, 9, 129.498, 27.008, 0.590
1, 32, 100, 10, 127.274, 27.083, 0.593
1, 32, 120, 8, 125.802, 27.134, 0.605
1, 32, 160, 8, 125.593, 27.141, 0.606
1, 32, 180, 8, 125.562, 27.142, 0.606
1, 32, 200, 8, 125.560, 27.142, 0.606
1, 64, 80, 11, 123.453, 27.216, 0.611
1, 64, 100, 9, 123.072, 27.229, 0.605
1, 64, 120, 8, 121.248, 27.294, 0.620
1, 64, 140, 8, 121.246, 27.294, 0.620
1, 64, 160, 8, 120.993, 27.303, 0.621
1, 64, 180, 8, 120.964, 27.304, 0.621
1, 64, 200, 8, 120.959, 27.304, 0.621
1, 128, 120, 8, 120.425, 27.324, 0.623
1, 128, 140, 8, 120.423, 27.324, 0.623
1, 128, 160, 8, 120.179, 27.333, 0.624
1, 128, 180, 8, 120.151, 27.334, 0.624
1, 128, 200, 8, 120.148, 27.334, 0.624
2, 32, 40, 8, 108.918, 27.760, 0.701
2, 32, 60, 7, 108.735, 27.767, 0.704
2, 32, 80, 7, 108.642, 27.771, 0.707
2, 32, 100, 7, 107.018, 27.836, 0.711
2, 64, 40, 9, 104.986, 27.919, 0.724
2, 64, 80, 7, 104.934, 27.922, 0.725
2, 64, 100, 7, 103.587, 27.978, 0.729
2, 128, 100, 6, 103.081, 27.999, 0.730
