Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 100, 16, 239.265, 24.342, 0.441
1, 32, 120, 12, 237.174, 24.380, 0.454
1, 32, 140, 12, 237.149, 24.381, 0.454
1, 32, 160, 12, 236.657, 24.390, 0.455
1, 32, 180, 12, 236.602, 24.391, 0.455
1, 64, 60, 15, 235.662, 24.408, 0.455
1, 64, 80, 15, 234.948, 24.421, 0.457
1, 64, 100, 16, 232.730, 24.462, 0.451
1, 64, 120, 12, 230.731, 24.500, 0.465
1, 64, 140, 12, 230.710, 24.500, 0.465
1, 64, 160, 12, 230.252, 24.509, 0.466
1, 64, 180, 12, 230.201, 24.510, 0.466
2, 32, 100, 11, 166.953, 25.905, 0.625
2, 64, 40, 15, 165.678, 25.938, 0.640
2, 64, 80, 11, 165.674, 25.938, 0.640
2, 64, 100, 11, 162.172, 26.031, 0.643
2, 256, 100, 12, 160.615, 26.073, 0.649
