Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 100, 8, 125.503, 27.144, 0.595
1, 32, 120, 8, 123.373, 27.219, 0.611
1, 32, 140, 8, 123.364, 27.219, 0.611
1, 32, 160, 8, 123.154, 27.226, 0.612
1, 32, 180, 8, 123.129, 27.227, 0.612
1, 64, 80, 11, 120.530, 27.320, 0.618
1, 64, 100, 9, 119.989, 27.339, 0.613
1, 64, 120, 8, 118.264, 27.402, 0.627
1, 64, 140, 8, 118.250, 27.403, 0.627
1, 64, 160, 8, 118.013, 27.412, 0.628
1, 64, 180, 8, 117.986, 27.413, 0.628
2, 32, 100, 7, 105.620, 27.893, 0.715
2, 64, 40, 9, 102.825, 28.010, 0.730
2, 64, 80, 7, 102.811, 28.010, 0.732
2, 64, 100, 7, 101.517, 28.065, 0.735
