Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 100, 12, 157.141, 26.168, 0.539
1, 32, 120, 8, 156.460, 26.187, 0.549
1, 32, 140, 8, 156.442, 26.187, 0.549
1, 32, 160, 10, 155.177, 26.223, 0.554
1, 64, 60, 13, 153.262, 26.276, 0.557
1, 64, 100, 11, 152.322, 26.303, 0.551
1, 64, 120, 10, 150.278, 26.362, 0.567
1, 64, 140, 10, 150.273, 26.362, 0.567
1, 64, 160, 10, 150.107, 26.367, 0.568
1, 64, 180, 10, 150.077, 26.368, 0.568
1, 128, 120, 10, 149.023, 26.398, 0.570
1, 128, 140, 10, 149.020, 26.398, 0.571
2, 32, 100, 7, 129.678, 27.002, 0.672
2, 64, 40, 9, 127.924, 27.061, 0.684
2, 64, 100, 7, 126.047, 27.125, 0.690
2, 128, 100, 7, 124.680, 27.173, 0.695
