Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 4421.210, 11.675, 0.079
1, 32, 40, 6, 4233.683, 11.864, 0.086
1, 32, 60, 4, 4233.667, 11.864, 0.086
1, 32, 100, 1, 4222.339, 11.875, 0.088
1, 32, 120, 4, 4169.810, 11.930, 0.091
1, 32, 160, 4, 4169.526, 11.930, 0.091
1, 64, 100, 4, 4153.605, 11.947, 0.090
1, 128, 100, 4, 4152.470, 11.948, 0.090
2, 32, 40, 48, 2639.844, 13.915, 0.317
2, 32, 100, 24, 2618.068, 13.951, 0.316
2, 32, 140, 32, 2617.985, 13.951, 0.322
2, 64, 100, 45, 2580.744, 14.013, 0.331
2, 128, 100, 50, 2566.440, 14.037, 0.335
3, 32, 40, 50, 1845.213, 15.470, 0.474
3, 32, 60, 50, 1824.256, 15.520, 0.478
3, 32, 80, 50, 1819.242, 15.532, 0.479
3, 32, 100, 50, 1786.293, 15.611, 0.483
