Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 691.084, 19.735, 0.261
1, 32, 40, 12, 403.628, 22.071, 0.450
1, 32, 80, 11, 398.456, 22.127, 0.460
1, 32, 100, 12, 387.655, 22.246, 0.464
1, 32, 120, 8, 386.831, 22.256, 0.470
1, 32, 160, 12, 383.576, 22.292, 0.476
1, 32, 180, 12, 383.547, 22.293, 0.476
1, 64, 100, 14, 382.925, 22.300, 0.474
1, 64, 120, 12, 380.186, 22.331, 0.483
1, 64, 140, 12, 380.173, 22.331, 0.483
1, 64, 160, 12, 380.017, 22.333, 0.484
1, 64, 180, 12, 379.989, 22.333, 0.484
1, 128, 120, 12, 377.255, 22.364, 0.489
1, 128, 140, 12, 377.247, 22.365, 0.489
1, 128, 160, 12, 377.095, 22.366, 0.490
1, 128, 180, 12, 377.076, 22.367, 0.490
2, 32, 40, 11, 132.424, 26.911, 0.635
2, 32, 100, 7, 130.725, 26.967, 0.635
2, 64, 40, 11, 128.265, 27.050, 0.655
2, 64, 60, 9, 127.984, 27.059, 0.656
2, 64, 100, 7, 126.563, 27.108, 0.655
2, 128, 40, 12, 125.216, 27.154, 0.666
2, 128, 60, 10, 124.838, 27.167, 0.668
2, 128, 100, 7, 123.950, 27.198, 0.664
2, 256, 100, 8, 123.103, 27.228, 0.670
