Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 1245.656, 17.177, 0.225
1, 32, 40, 8, 965.435, 18.284, 0.388
1, 32, 60, 7, 933.843, 18.428, 0.403
1, 32, 80, 9, 927.453, 18.458, 0.409
1, 32, 100, 12, 890.845, 18.633, 0.416
1, 64, 100, 12, 886.066, 18.656, 0.426
2, 32, 40, 11, 247.350, 24.198, 0.661
2, 32, 80, 8, 246.837, 24.207, 0.661
2, 32, 100, 9, 240.973, 24.311, 0.665
2, 64, 100, 11, 233.810, 24.442, 0.689
3, 32, 40, 11, 165.781, 25.935, 0.698
3, 32, 60, 8, 164.335, 25.973, 0.697
3, 32, 100, 6, 162.642, 26.018, 0.696
3, 64, 40, 11, 160.864, 26.066, 0.716
3, 64, 60, 9, 159.507, 26.103, 0.716
3, 64, 100, 7, 157.384, 26.161, 0.716
