Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 100, 11, 127.434, 27.078, 0.574
1, 32, 120, 8, 126.207, 27.120, 0.583
1, 32, 140, 8, 126.188, 27.121, 0.583
1, 32, 160, 8, 125.952, 27.129, 0.585
1, 32, 180, 8, 125.939, 27.129, 0.585
1, 32, 200, 8, 125.938, 27.129, 0.585
1, 64, 60, 11, 125.248, 27.153, 0.585
1, 64, 80, 11, 124.659, 27.174, 0.588
1, 64, 100, 11, 123.090, 27.229, 0.586
1, 64, 120, 8, 122.196, 27.260, 0.597
1, 64, 140, 8, 122.187, 27.261, 0.597
1, 64, 160, 8, 121.915, 27.270, 0.598
1, 64, 180, 8, 121.897, 27.271, 0.598
1, 64, 200, 8, 121.896, 27.271, 0.598
1, 128, 120, 8, 121.385, 27.289, 0.599
1, 128, 140, 8, 121.377, 27.289, 0.599
1, 128, 160, 8, 121.130, 27.298, 0.601
1, 128, 180, 8, 121.110, 27.299, 0.601
1, 128, 200, 8, 121.109, 27.299, 0.601
2, 32, 100, 4, 111.961, 27.640, 0.667
2, 64, 40, 9, 110.108, 27.713, 0.698
2, 64, 60, 7, 109.993, 27.717, 0.698
2, 64, 100, 4, 108.628, 27.771, 0.687
2, 128, 100, 4, 107.913, 27.800, 0.691
