Log Started on 08-Mar-2018

Adding Noise
Optimizing for goldengate_speckle_and_gauss_markov_high_optimal
Running polya filter for radius = 1, bins = 32, delta = 20.
Initial MSE: 2763.9872
Iteration 1 of 50 | Duration = 0.996 | MSE = 2730.1212
Iteration 2 of 50 | Duration = 0.789 | MSE = 2730.1212
Iteration 3 of 50 | Duration = 0.880 | MSE = 2730.1212
New optimal MSE: 2730.1212

Running polya filter for radius = 1, bins = 32, delta = 40.
Initial MSE: 2763.9872
Iteration 1 of 50 | Duration = 1.047 | MSE = 2730.1212
Iteration 2 of 50 | Duration = 0.889 | MSE = 2730.1212
Iteration 3 of 50 | Duration = 0.795 | MSE = 1846.7828
Iteration 4 of 50 | Duration = 0.868 | MSE = 1804.3796
Iteration 5 of 50 | Duration = 0.814 | MSE = 1794.8092
Iteration 6 of 50 | Duration = 1.047 | MSE = 1681.0201
Iteration 7 of 50 | Duration = 0.912 | MSE = 1614.2715
Iteration 8 of 50 | Duration = 0.819 | MSE = 1609.2774
Iteration 9 of 50 | Duration = 0.775 | MSE = 1533.6633
Iteration 10 of 50 | Duration = 0.822 | MSE = 1531.8007
Iteration 11 of 50 | Duration = 0.846 | MSE = 1528.7067
Iteration 12 of 50 | Duration = 0.837 | MSE = 1528.0453
Iteration 13 of 50 | Duration = 0.864 | MSE = 1523.7258
Iteration 14 of 50 | Duration = 0.795 | MSE = 1514.5297
Iteration 15 of 50 | Duration = 0.872 | MSE = 1496.4930
Iteration 16 of 50 | Duration = 0.877 | MSE = 1485.1696
Iteration 17 of 50 | Duration = 0.861 | MSE = 1478.3647
Iteration 18 of 50 | Duration = 0.984 | MSE = 1459.8389
Iteration 19 of 50 | Duration = 0.882 | MSE = 1444.3955
Iteration 20 of 50 | Duration = 0.794 | MSE = 1443.2933
Iteration 21 of 50 | Duration = 0.822 | MSE = 1417.2374
Iteration 22 of 50 | Duration = 0.837 | MSE = 1416.1350
Iteration 23 of 50 | Duration = 0.952 | MSE = 1414.6918
Iteration 24 of 50 | Duration = 0.898 | MSE = 1413.5365
Iteration 25 of 50 | Duration = 0.810 | MSE = 1412.6321
Iteration 26 of 50 | Duration = 0.892 | MSE = 1411.1945
Iteration 27 of 50 | Duration = 0.804 | MSE = 1410.5463
Iteration 28 of 50 | Duration = 0.890 | MSE = 1409.9174
Iteration 29 of 50 | Duration = 0.832 | MSE = 1408.6489
Iteration 30 of 50 | Duration = 0.914 | MSE = 1407.0962
Iteration 31 of 50 | Duration = 0.845 | MSE = 1404.4523
Iteration 32 of 50 | Duration = 0.837 | MSE = 1403.6521
Iteration 33 of 50 | Duration = 0.803 | MSE = 1396.3841
Iteration 34 of 50 | Duration = 0.869 | MSE = 1390.2948
Iteration 35 of 50 | Duration = 0.916 | MSE = 1389.3559
Iteration 36 of 50 | Duration = 0.894 | MSE = 1388.8407
Iteration 37 of 50 | Duration = 0.793 | MSE = 1386.7430
Iteration 38 of 50 | Duration = 0.901 | MSE = 1385.5599
Iteration 39 of 50 | Duration = 0.871 | MSE = 1379.0751
Iteration 40 of 50 | Duration = 0.868 | MSE = 1373.9374
Iteration 41 of 50 | Duration = 0.876 | MSE = 1372.6434
Iteration 42 of 50 | Duration = 0.884 | MSE = 1364.2625
Iteration 43 of 50 | Duration = 0.846 | MSE = 1357.7883
Iteration 44 of 50 | Duration = 0.797 | MSE = 1357.0367
Iteration 45 of 50 | Duration = 0.819 | MSE = 1344.7093
Iteration 46 of 50 | Duration = 0.907 | MSE = 1344.4339
New optimal MSE: 1344.4339

Running polya filter for radius = 1, bins = 32, delta = 60.
Initial MSE: 2763.9872
Iteration 1 of 50 | Duration = 1.071 | MSE = 2730.1212
Iteration 2 of 50 | Duration = 0.911 | MSE = 1846.7828
Iteration 3 of 50 | Duration = 0.882 | MSE = 1804.3876
Iteration 4 of 50 | Duration = 1.021 | MSE = 1678.8587
Iteration 5 of 50 | Duration = 0.857 | MSE = 1611.0032
Iteration 6 of 50 | Duration = 0.920 | MSE = 1535.4796
Iteration 7 of 50 | Duration = 0.867 | MSE = 1533.4673
Iteration 8 of 50 | Duration = 0.794 | MSE = 1528.6789
Iteration 9 of 50 | Duration = 0.845 | MSE = 1521.9635
Iteration 10 of 50 | Duration = 0.952 | MSE = 1499.7603
Iteration 11 of 50 | Duration = 0.917 | MSE = 1484.3023
Iteration 12 of 50 | Duration = 0.935 | MSE = 1460.1171
Iteration 13 of 50 | Duration = 0.800 | MSE = 1444.9505
Iteration 14 of 50 | Duration = 0.892 | MSE = 1417.4297
Iteration 15 of 50 | Duration = 0.842 | MSE = 1415.6271
Iteration 16 of 50 | Duration = 0.862 | MSE = 1413.8024
Iteration 17 of 50 | Duration = 0.933 | MSE = 1411.9529
Iteration 18 of 50 | Duration = 0.929 | MSE = 1410.5060
Iteration 19 of 50 | Duration = 0.876 | MSE = 1409.1120
Iteration 20 of 50 | Duration = 0.809 | MSE = 1406.7568
Iteration 21 of 50 | Duration = 0.838 | MSE = 1405.0130
Iteration 22 of 50 | Duration = 0.971 | MSE = 1396.6375
Iteration 23 of 50 | Duration = 0.928 | MSE = 1390.0328
Iteration 24 of 50 | Duration = 0.917 | MSE = 1388.6875
Iteration 25 of 50 | Duration = 0.879 | MSE = 1386.1107
Iteration 26 of 50 | Duration = 0.873 | MSE = 1379.3965
Iteration 27 of 50 | Duration = 0.784 | MSE = 1373.4513
Iteration 28 of 50 | Duration = 0.874 | MSE = 1365.0451
Iteration 29 of 50 | Duration = 0.915 | MSE = 1357.9461
Iteration 30 of 50 | Duration = 0.849 | MSE = 1344.8554
Iteration 31 of 50 | Duration = 0.791 | MSE = 1343.9289
Iteration 32 of 50 | Duration = 0.835 | MSE = 1343.4151
Iteration 33 of 50 | Duration = 0.917 | MSE = 1342.6477
Iteration 34 of 50 | Duration = 0.839 | MSE = 1341.9291
Iteration 35 of 50 | Duration = 0.839 | MSE = 1341.1638
Iteration 36 of 50 | Duration = 0.855 | MSE = 1340.7006
New optimal MSE: 1340.7006

Running polya filter for radius = 1, bins = 32, delta = 80.
Initial MSE: 2763.9872
Iteration 1 of 50 | Duration = 1.021 | MSE = 2730.1212
Iteration 2 of 50 | Duration = 0.860 | MSE = 1846.7828
Iteration 3 of 50 | Duration = 0.926 | MSE = 1804.6021
Iteration 4 of 50 | Duration = 1.009 | MSE = 1679.1516
Iteration 5 of 50 | Duration = 0.907 | MSE = 1613.5732
Iteration 6 of 50 | Duration = 0.847 | MSE = 1537.1661
Iteration 7 of 50 | Duration = 0.875 | MSE = 1530.8934
Iteration 8 of 50 | Duration = 0.955 | MSE = 1522.1604
Iteration 9 of 50 | Duration = 0.885 | MSE = 1516.9529
Iteration 10 of 50 | Duration = 0.823 | MSE = 1495.0097
Iteration 11 of 50 | Duration = 0.830 | MSE = 1481.3082
Iteration 12 of 50 | Duration = 0.816 | MSE = 1458.0314
Iteration 13 of 50 | Duration = 0.863 | MSE = 1443.3971
Iteration 14 of 50 | Duration = 0.894 | MSE = 1415.9935
Iteration 15 of 50 | Duration = 0.942 | MSE = 1414.1252
Iteration 16 of 50 | Duration = 0.773 | MSE = 1411.6071
Iteration 17 of 50 | Duration = 0.807 | MSE = 1409.7652
Iteration 18 of 50 | Duration = 0.811 | MSE = 1407.2553
Iteration 19 of 50 | Duration = 0.906 | MSE = 1406.1974
Iteration 20 of 50 | Duration = 0.862 | MSE = 1404.3375
Iteration 21 of 50 | Duration = 0.871 | MSE = 1402.4342
Iteration 22 of 50 | Duration = 0.796 | MSE = 1393.9581
Iteration 23 of 50 | Duration = 0.933 | MSE = 1387.7072
Iteration 24 of 50 | Duration = 0.797 | MSE = 1386.3186
Iteration 25 of 50 | Duration = 0.828 | MSE = 1383.8844
Iteration 26 of 50 | Duration = 0.919 | MSE = 1377.3985
Iteration 27 of 50 | Duration = 0.924 | MSE = 1371.6761
Iteration 28 of 50 | Duration = 0.836 | MSE = 1363.2363
Iteration 29 of 50 | Duration = 0.818 | MSE = 1356.2935
Iteration 30 of 50 | Duration = 0.805 | MSE = 1343.2585
Iteration 31 of 50 | Duration = 0.910 | MSE = 1342.2743
Iteration 32 of 50 | Duration = 0.856 | MSE = 1341.7418
Iteration 33 of 50 | Duration = 0.868 | MSE = 1341.1354
Iteration 34 of 50 | Duration = 0.824 | MSE = 1340.2097
Iteration 35 of 50 | Duration = 0.947 | MSE = 1339.4748
Iteration 36 of 50 | Duration = 0.910 | MSE = 1338.8776
Iteration 37 of 50 | Duration = 0.893 | MSE = 1338.2369
Iteration 38 of 50 | Duration = 0.923 | MSE = 1337.2426
Iteration 39 of 50 | Duration = 0.839 | MSE = 1336.7112
Iteration 40 of 50 | Duration = 0.830 | MSE = 1336.5721
New optimal MSE: 1336.5721

Running polya filter for radius = 1, bins = 32, delta = 100.
Initial MSE: 2763.9872
Iteration 1 of 50 | Duration = 1.586 | MSE = 2130.1612
Iteration 2 of 50 | Duration = 0.984 | MSE = 1786.9516
Iteration 3 of 50 | Duration = 0.968 | MSE = 1674.7501
Iteration 4 of 50 | Duration = 0.898 | MSE = 1616.2140
Iteration 5 of 50 | Duration = 0.938 | MSE = 1551.9940
Iteration 6 of 50 | Duration = 0.844 | MSE = 1505.1759
Iteration 7 of 50 | Duration = 0.866 | MSE = 1485.8200
Iteration 8 of 50 | Duration = 0.925 | MSE = 1478.5295
Iteration 9 of 50 | Duration = 0.837 | MSE = 1473.3289
Iteration 10 of 50 | Duration = 0.791 | MSE = 1463.9832
Iteration 11 of 50 | Duration = 0.858 | MSE = 1448.3293
Iteration 12 of 50 | Duration = 0.937 | MSE = 1435.5105
Iteration 13 of 50 | Duration = 0.880 | MSE = 1414.9599
Iteration 14 of 50 | Duration = 0.887 | MSE = 1399.4740
Iteration 15 of 50 | Duration = 0.838 | MSE = 1391.0223
Iteration 16 of 50 | Duration = 0.884 | MSE = 1388.1992
Iteration 17 of 50 | Duration = 0.810 | MSE = 1386.1633
Iteration 18 of 50 | Duration = 0.818 | MSE = 1384.6898
Iteration 19 of 50 | Duration = 0.944 | MSE = 1383.2584
Iteration 20 of 50 | Duration = 0.914 | MSE = 1382.2204
Iteration 21 of 50 | Duration = 0.838 | MSE = 1380.3925
Iteration 22 of 50 | Duration = 0.769 | MSE = 1376.6304
Iteration 23 of 50 | Duration = 0.816 | MSE = 1369.9186
Iteration 24 of 50 | Duration = 0.819 | MSE = 1367.0259
Iteration 25 of 50 | Duration = 0.844 | MSE = 1365.3980
Iteration 26 of 50 | Duration = 0.807 | MSE = 1362.3499
Iteration 27 of 50 | Duration = 0.877 | MSE = 1355.8791
Iteration 28 of 50 | Duration = 0.904 | MSE = 1351.6965
Iteration 29 of 50 | Duration = 0.839 | MSE = 1341.7284
Iteration 30 of 50 | Duration = 0.880 | MSE = 1333.8022
Iteration 31 of 50 | Duration = 0.908 | MSE = 1329.2754
Iteration 32 of 50 | Duration = 0.824 | MSE = 1328.2057
