Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 100, 8, 111.007, 27.677, 0.601
1, 32, 120, 8, 109.826, 27.724, 0.617
1, 32, 160, 8, 109.705, 27.729, 0.618
1, 32, 180, 8, 109.696, 27.729, 0.618
1, 32, 200, 8, 109.696, 27.729, 0.618
1, 64, 80, 11, 107.452, 27.819, 0.624
1, 64, 100, 8, 106.546, 27.855, 0.616
1, 64, 120, 8, 105.475, 27.899, 0.633
1, 64, 160, 8, 105.353, 27.904, 0.634
1, 64, 180, 8, 105.346, 27.905, 0.634
1, 64, 200, 8, 105.344, 27.905, 0.634
1, 128, 120, 8, 105.172, 27.912, 0.634
1, 128, 160, 8, 105.017, 27.918, 0.636
1, 128, 180, 8, 105.003, 27.919, 0.636
1, 128, 200, 8, 105.000, 27.919, 0.636
2, 32, 100, 4, 102.534, 28.022, 0.691
2, 64, 40, 9, 101.349, 28.073, 0.722
2, 64, 60, 6, 100.781, 28.097, 0.718
2, 64, 100, 3, 98.528, 28.195, 0.699
2, 128, 100, 3, 97.911, 28.222, 0.703
2, 256, 100, 3, 97.567, 28.238, 0.702
