Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 40, 10, 116.771, 27.457, 0.591
1, 32, 80, 9, 115.035, 27.523, 0.599
1, 32, 100, 8, 113.017, 27.599, 0.597
1, 32, 120, 8, 111.588, 27.655, 0.613
1, 32, 160, 8, 111.450, 27.660, 0.614
1, 32, 180, 8, 111.428, 27.661, 0.614
1, 32, 200, 8, 111.425, 27.661, 0.614
1, 64, 80, 11, 109.179, 27.749, 0.620
1, 64, 100, 9, 107.938, 27.799, 0.614
1, 64, 120, 8, 107.170, 27.830, 0.628
1, 64, 160, 8, 107.007, 27.837, 0.630
1, 64, 180, 8, 106.987, 27.838, 0.630
1, 64, 200, 8, 106.984, 27.838, 0.630
1, 128, 120, 8, 106.418, 27.861, 0.632
1, 128, 160, 8, 106.253, 27.867, 0.633
1, 128, 180, 8, 106.234, 27.868, 0.633
1, 128, 200, 8, 106.232, 27.868, 0.633
2, 32, 40, 8, 105.638, 27.893, 0.696
2, 32, 80, 4, 105.494, 27.899, 0.682
2, 32, 100, 4, 103.604, 27.977, 0.688
2, 64, 40, 9, 102.353, 28.030, 0.719
2, 64, 60, 6, 101.786, 28.054, 0.715
2, 64, 100, 3, 99.632, 28.147, 0.696
2, 128, 100, 3, 98.926, 28.178, 0.700
2, 256, 100, 3, 98.691, 28.188, 0.698
