Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 2101.933, 14.905, 0.100
1, 32, 40, 32, 531.870, 20.873, 0.257
1, 32, 60, 25, 529.575, 20.892, 0.258
1, 32, 80, 23, 528.180, 20.903, 0.259
1, 32, 120, 20, 514.427, 21.018, 0.265
1, 32, 140, 20, 514.364, 21.018, 0.265
1, 32, 160, 20, 514.056, 21.021, 0.265
1, 32, 180, 20, 513.923, 21.022, 0.265
1, 64, 120, 20, 513.846, 21.022, 0.265
1, 64, 140, 20, 513.801, 21.023, 0.265
1, 128, 120, 20, 507.406, 21.077, 0.267
1, 128, 140, 20, 507.359, 21.078, 0.267
1, 128, 160, 20, 507.031, 21.080, 0.268
1, 128, 180, 20, 506.871, 21.082, 0.268
2, 32, 40, 36, 246.875, 24.206, 0.481
2, 32, 60, 31, 245.372, 24.233, 0.484
2, 32, 80, 31, 243.800, 24.260, 0.487
2, 32, 100, 32, 239.321, 24.341, 0.493
2, 32, 180, 28, 239.314, 24.341, 0.495
2, 64, 100, 32, 235.849, 24.404, 0.501
2, 64, 160, 29, 235.511, 24.411, 0.505
2, 64, 180, 29, 235.242, 24.416, 0.505
2, 128, 100, 32, 232.494, 24.467, 0.507
2, 128, 160, 28, 232.480, 24.467, 0.509
2, 128, 180, 28, 232.183, 24.472, 0.510
3, 32, 40, 16, 199.634, 25.128, 0.596
3, 32, 60, 15, 198.731, 25.148, 0.600
3, 32, 80, 15, 198.312, 25.157, 0.602
3, 32, 100, 15, 196.791, 25.191, 0.605
3, 64, 40, 18, 194.769, 25.236, 0.613
3, 64, 80, 15, 194.440, 25.243, 0.616
3, 64, 100, 15, 193.185, 25.271, 0.618
3, 128, 40, 18, 192.691, 25.282, 0.619
3, 128, 80, 15, 192.355, 25.290, 0.621
3, 128, 100, 15, 191.178, 25.316, 0.624
3, 256, 100, 15, 190.990, 25.321, 0.626
