Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 100, 8, 109.774, 27.726, 0.604
1, 32, 120, 8, 108.778, 27.765, 0.620
1, 32, 140, 8, 108.774, 27.766, 0.620
1, 32, 160, 8, 108.639, 27.771, 0.621
1, 32, 180, 8, 108.620, 27.772, 0.621
1, 32, 200, 8, 108.619, 27.772, 0.621
1, 64, 80, 11, 105.953, 27.880, 0.627
1, 64, 100, 8, 104.977, 27.920, 0.619
1, 64, 120, 8, 103.936, 27.963, 0.636
1, 64, 140, 8, 103.930, 27.963, 0.636
1, 64, 160, 8, 103.759, 27.971, 0.637
1, 64, 180, 8, 103.742, 27.971, 0.637
1, 64, 200, 8, 103.741, 27.971, 0.637
2, 32, 100, 4, 101.859, 28.051, 0.692
2, 64, 40, 9, 99.998, 28.131, 0.725
2, 64, 60, 6, 99.489, 28.153, 0.721
2, 64, 100, 4, 97.864, 28.225, 0.714
2, 128, 100, 3, 97.592, 28.237, 0.703
