Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 100, 11, 135.974, 26.796, 0.553
1, 32, 120, 8, 135.928, 26.798, 0.565
1, 32, 140, 8, 135.920, 26.798, 0.565
1, 32, 160, 8, 135.586, 26.809, 0.566
1, 32, 180, 8, 135.565, 26.809, 0.566
1, 32, 200, 8, 135.558, 26.810, 0.566
1, 64, 60, 11, 134.821, 26.833, 0.566
1, 64, 80, 11, 134.186, 26.854, 0.569
1, 64, 100, 11, 131.089, 26.955, 0.566
1, 64, 160, 9, 130.333, 26.980, 0.582
1, 64, 180, 9, 130.312, 26.981, 0.582
1, 64, 200, 9, 130.306, 26.981, 0.582
1, 128, 100, 11, 129.588, 27.005, 0.570
1, 128, 120, 10, 128.759, 27.033, 0.587
1, 128, 140, 10, 128.758, 27.033, 0.587
2, 32, 100, 5, 115.945, 27.488, 0.670
2, 64, 40, 10, 114.227, 27.553, 0.696
2, 64, 100, 5, 112.383, 27.624, 0.689
2, 128, 100, 5, 110.857, 27.683, 0.694
2, 256, 100, 6, 110.835, 27.684, 0.698
