Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 1695.416, 15.838, 0.190
1, 32, 40, 12, 1382.775, 16.723, 0.289
1, 32, 60, 11, 1374.609, 16.749, 0.293
1, 32, 100, 12, 1326.380, 16.904, 0.301
1, 64, 100, 14, 1322.959, 16.915, 0.307
1, 128, 100, 14, 1320.759, 16.923, 0.309
2, 32, 40, 25, 335.941, 22.868, 0.587
2, 32, 100, 19, 324.260, 23.022, 0.592
2, 64, 100, 23, 319.023, 23.093, 0.611
2, 128, 100, 23, 316.519, 23.127, 0.617
2, 256, 100, 23, 315.665, 23.139, 0.619
3, 32, 40, 11, 200.898, 25.101, 0.650
3, 32, 60, 9, 200.036, 25.120, 0.650
3, 32, 100, 7, 197.957, 25.165, 0.649
3, 64, 40, 13, 197.513, 25.175, 0.672
3, 64, 60, 11, 196.487, 25.197, 0.672
3, 64, 100, 8, 194.514, 25.241, 0.671
3, 128, 40, 15, 193.918, 25.255, 0.680
3, 128, 60, 11, 193.404, 25.266, 0.679
3, 128, 100, 8, 191.580, 25.307, 0.678
3, 256, 100, 9, 190.893, 25.323, 0.683
