Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 2730.121, 13.769, 0.102
1, 32, 40, 46, 1344.434, 16.845, 0.171
1, 32, 60, 36, 1340.701, 16.857, 0.172
1, 32, 80, 40, 1336.572, 16.871, 0.172
1, 32, 100, 36, 1325.917, 16.906, 0.174
1, 32, 120, 33, 1294.254, 17.011, 0.177
1, 32, 140, 36, 1292.566, 17.016, 0.177
1, 32, 160, 37, 1290.592, 17.023, 0.177
1, 32, 180, 37, 1290.562, 17.023, 0.177
2, 32, 40, 50, 644.604, 20.038, 0.346
2, 32, 60, 50, 636.250, 20.095, 0.350
2, 32, 80, 50, 632.430, 20.121, 0.352
2, 32, 100, 48, 629.971, 20.138, 0.353
2, 32, 120, 50, 622.080, 20.192, 0.357
2, 32, 140, 50, 621.468, 20.197, 0.357
2, 32, 160, 50, 619.513, 20.210, 0.358
3, 32, 40, 42, 439.835, 21.698, 0.486
3, 32, 60, 41, 436.154, 21.734, 0.489
3, 32, 100, 36, 434.561, 21.750, 0.490
3, 32, 120, 36, 432.436, 21.772, 0.492
3, 32, 140, 36, 431.923, 21.777, 0.492
3, 32, 160, 36, 431.173, 21.784, 0.493
