Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 651.830, 19.989, 0.234
1, 32, 40, 12, 223.593, 24.636, 0.443
1, 32, 60, 15, 210.955, 24.889, 0.464
1, 32, 80, 15, 210.322, 24.902, 0.465
1, 32, 120, 12, 207.315, 24.965, 0.471
1, 32, 140, 12, 207.293, 24.965, 0.471
1, 32, 160, 12, 206.799, 24.975, 0.472
1, 32, 180, 12, 206.785, 24.976, 0.472
1, 64, 60, 15, 205.499, 25.003, 0.472
1, 64, 80, 15, 204.851, 25.016, 0.474
1, 64, 120, 12, 201.751, 25.083, 0.480
1, 64, 140, 12, 201.728, 25.083, 0.480
1, 64, 160, 12, 201.277, 25.093, 0.481
1, 64, 180, 12, 201.254, 25.093, 0.481
2, 32, 40, 12, 152.249, 26.305, 0.609
2, 32, 60, 11, 151.549, 26.325, 0.613
2, 32, 80, 11, 151.305, 26.332, 0.616
2, 32, 100, 11, 150.177, 26.365, 0.619
2, 64, 40, 12, 147.351, 26.447, 0.627
2, 64, 60, 11, 146.737, 26.465, 0.631
2, 64, 80, 11, 146.506, 26.472, 0.633
2, 64, 100, 10, 145.827, 26.492, 0.635
