Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 1302.275, 16.984, 0.163
1, 32, 40, 12, 554.981, 20.688, 0.287
1, 32, 60, 31, 491.284, 21.217, 0.315
1, 32, 80, 31, 490.472, 21.225, 0.316
1, 32, 160, 20, 487.986, 21.247, 0.317
1, 32, 180, 20, 487.959, 21.247, 0.317
1, 32, 200, 20, 487.958, 21.247, 0.317
1, 64, 80, 32, 487.836, 21.248, 0.318
1, 64, 120, 20, 486.735, 21.258, 0.319
1, 64, 140, 20, 486.718, 21.258, 0.319
1, 64, 160, 20, 485.716, 21.267, 0.319
1, 64, 180, 20, 485.692, 21.267, 0.319
1, 64, 200, 20, 485.692, 21.267, 0.319
2, 32, 40, 24, 286.478, 23.560, 0.492
2, 32, 60, 26, 281.857, 23.631, 0.499
2, 32, 100, 24, 279.835, 23.662, 0.501
2, 32, 120, 20, 279.818, 23.662, 0.501
2, 32, 140, 20, 279.657, 23.665, 0.501
2, 32, 160, 24, 276.495, 23.714, 0.506
2, 32, 180, 24, 276.313, 23.717, 0.506
2, 32, 200, 24, 276.309, 23.717, 0.506
2, 64, 100, 24, 276.248, 23.718, 0.510
2, 64, 120, 24, 273.978, 23.754, 0.514
2, 64, 140, 24, 273.818, 23.756, 0.514
2, 64, 160, 24, 272.951, 23.770, 0.516
2, 64, 180, 24, 272.802, 23.772, 0.516
2, 64, 200, 24, 272.798, 23.772, 0.516
3, 32, 40, 14, 236.156, 24.399, 0.584
3, 32, 60, 13, 235.408, 24.413, 0.587
3, 32, 80, 13, 234.985, 24.420, 0.588
3, 32, 100, 12, 234.701, 24.426, 0.589
3, 32, 120, 12, 234.314, 24.433, 0.590
3, 32, 140, 12, 234.245, 24.434, 0.590
3, 32, 160, 14, 233.242, 24.453, 0.593
3, 64, 40, 15, 232.199, 24.472, 0.600
3, 64, 60, 14, 231.488, 24.486, 0.602
3, 64, 100, 13, 230.876, 24.497, 0.605
3, 64, 180, 12, 230.683, 24.501, 0.606
