Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 428.678, 21.809, 0.287
1, 32, 40, 10, 148.793, 26.405, 0.513
1, 32, 60, 11, 144.931, 26.519, 0.524
1, 32, 80, 11, 143.736, 26.555, 0.527
1, 32, 120, 8, 140.142, 26.665, 0.537
1, 32, 140, 8, 140.128, 26.666, 0.537
1, 32, 160, 10, 138.841, 26.706, 0.541
1, 32, 180, 10, 138.822, 26.706, 0.541
1, 32, 200, 10, 138.822, 26.706, 0.541
1, 64, 60, 15, 138.421, 26.719, 0.542
1, 64, 120, 12, 135.501, 26.811, 0.551
1, 64, 140, 12, 135.486, 26.812, 0.551
1, 128, 120, 11, 135.391, 26.815, 0.551
1, 128, 140, 11, 135.381, 26.815, 0.551
1, 256, 120, 11, 134.798, 26.834, 0.552
1, 256, 140, 11, 134.785, 26.834, 0.552
2, 32, 40, 10, 115.411, 27.508, 0.655
2, 32, 100, 7, 114.814, 27.531, 0.659
2, 64, 40, 10, 111.971, 27.640, 0.672
2, 64, 100, 7, 111.397, 27.662, 0.676
2, 128, 60, 9, 111.309, 27.665, 0.679
2, 128, 100, 7, 111.074, 27.675, 0.678
2, 256, 40, 12, 110.455, 27.699, 0.683
2, 256, 100, 7, 110.269, 27.706, 0.681
