Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 1140.319, 17.561, 0.157
1, 32, 40, 20, 312.834, 23.178, 0.352
1, 32, 60, 19, 305.848, 23.276, 0.359
1, 32, 80, 19, 304.676, 23.292, 0.360
1, 32, 120, 16, 296.660, 23.408, 0.368
1, 32, 140, 16, 296.636, 23.409, 0.368
1, 32, 160, 16, 296.278, 23.414, 0.369
1, 32, 180, 16, 296.198, 23.415, 0.369
1, 64, 120, 16, 294.381, 23.442, 0.370
1, 64, 140, 16, 294.359, 23.442, 0.370
1, 64, 160, 16, 294.044, 23.447, 0.371
1, 64, 180, 16, 293.961, 23.448, 0.371
1, 256, 120, 16, 293.673, 23.452, 0.371
1, 256, 140, 16, 293.655, 23.452, 0.371
1, 256, 160, 16, 293.313, 23.457, 0.372
1, 256, 180, 16, 293.237, 23.459, 0.372
2, 32, 40, 20, 176.011, 25.675, 0.558
2, 32, 60, 19, 174.265, 25.719, 0.564
2, 32, 100, 16, 172.396, 25.766, 0.567
2, 32, 140, 16, 172.365, 25.766, 0.571
2, 32, 160, 16, 171.854, 25.779, 0.573
2, 32, 180, 16, 171.777, 25.781, 0.573
2, 64, 60, 19, 171.775, 25.781, 0.573
2, 64, 100, 18, 169.044, 25.851, 0.580
2, 256, 100, 18, 167.244, 25.897, 0.585
3, 32, 40, 10, 160.372, 26.080, 0.641
3, 32, 60, 9, 160.210, 26.084, 0.643
3, 64, 40, 12, 157.165, 26.167, 0.659
3, 256, 40, 14, 156.267, 26.192, 0.668
3, 256, 100, 8, 156.098, 26.197, 0.665
