Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 803.712, 19.080, 0.346
1, 32, 40, 10, 445.623, 21.641, 0.566
1, 32, 60, 7, 445.600, 21.641, 0.566
1, 32, 80, 11, 439.842, 21.698, 0.576
1, 32, 100, 12, 424.110, 21.856, 0.577
1, 32, 160, 12, 423.474, 21.863, 0.589
1, 32, 180, 12, 423.450, 21.863, 0.589
1, 32, 200, 12, 423.449, 21.863, 0.589
1, 64, 100, 12, 420.049, 21.898, 0.586
1, 64, 160, 11, 419.362, 21.905, 0.598
1, 64, 180, 11, 419.341, 21.905, 0.598
1, 64, 200, 11, 419.340, 21.905, 0.598
1, 128, 120, 10, 419.326, 21.905, 0.598
1, 128, 140, 10, 419.257, 21.906, 0.598
1, 128, 160, 11, 418.606, 21.913, 0.599
1, 128, 180, 12, 418.413, 21.915, 0.600
1, 128, 200, 12, 418.411, 21.915, 0.600
1, 256, 100, 14, 418.313, 21.916, 0.590
1, 256, 180, 12, 418.183, 21.917, 0.600
1, 256, 200, 12, 418.182, 21.917, 0.600
2, 32, 40, 11, 105.005, 27.919, 0.735
2, 32, 100, 5, 103.273, 27.991, 0.726
2, 64, 40, 11, 100.898, 28.092, 0.751
2, 64, 100, 7, 98.110, 28.214, 0.751
2, 128, 100, 7, 96.874, 28.269, 0.755
2, 256, 100, 7, 96.510, 28.285, 0.757
