Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 1515.554, 16.325, 0.293
1, 32, 40, 12, 1130.564, 17.598, 0.450
1, 32, 60, 11, 1123.472, 17.625, 0.454
1, 32, 80, 11, 1122.926, 17.627, 0.455
1, 32, 100, 12, 1078.584, 17.802, 0.460
1, 64, 100, 14, 1073.829, 17.821, 0.468
1, 128, 100, 14, 1073.804, 17.822, 0.469
1, 256, 100, 14, 1073.242, 17.824, 0.470
2, 32, 40, 13, 240.688, 24.316, 0.701
2, 32, 60, 11, 240.408, 24.321, 0.702
2, 32, 100, 12, 231.115, 24.493, 0.707
2, 64, 100, 13, 227.117, 24.568, 0.723
2, 128, 100, 13, 226.715, 24.576, 0.726
2, 256, 100, 13, 225.902, 24.592, 0.727
3, 32, 40, 9, 175.707, 25.683, 0.732
3, 32, 60, 6, 174.708, 25.708, 0.730
3, 32, 100, 5, 172.821, 25.755, 0.730
3, 64, 40, 12, 171.415, 25.790, 0.751
3, 64, 60, 8, 170.923, 25.803, 0.749
3, 64, 100, 6, 168.558, 25.863, 0.749
3, 128, 100, 6, 168.354, 25.869, 0.753
3, 256, 100, 7, 167.761, 25.884, 0.756
