Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 100, 11, 110.354, 27.703, 0.642
1, 32, 120, 8, 109.981, 27.718, 0.651
1, 32, 140, 8, 109.956, 27.719, 0.651
1, 32, 160, 9, 109.088, 27.753, 0.654
1, 32, 180, 9, 109.062, 27.754, 0.654
1, 32, 200, 9, 109.059, 27.754, 0.654
1, 64, 100, 11, 107.436, 27.819, 0.651
1, 64, 120, 8, 107.353, 27.823, 0.660
1, 64, 140, 8, 107.327, 27.824, 0.660
1, 64, 160, 9, 106.441, 27.860, 0.663
1, 64, 180, 9, 106.418, 27.861, 0.663
1, 64, 200, 9, 106.415, 27.861, 0.663
1, 128, 100, 11, 106.266, 27.867, 0.653
1, 128, 120, 10, 104.864, 27.925, 0.666
1, 128, 140, 10, 104.860, 27.925, 0.666
2, 32, 100, 5, 87.512, 28.710, 0.737
2, 64, 40, 10, 86.423, 28.764, 0.756
2, 64, 100, 5, 84.893, 28.842, 0.751
2, 128, 60, 7, 84.821, 28.846, 0.759
2, 128, 100, 6, 83.101, 28.935, 0.760
2, 256, 100, 6, 82.798, 28.951, 0.761
