Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 1987.337, 15.148, 0.256
1, 32, 40, 12, 1567.350, 16.179, 0.377
1, 32, 60, 11, 1553.911, 16.217, 0.380
1, 32, 100, 14, 1479.776, 16.429, 0.391
1, 64, 100, 14, 1476.218, 16.439, 0.395
1, 128, 100, 14, 1475.911, 16.440, 0.396
1, 256, 100, 14, 1475.746, 16.441, 0.396
2, 32, 40, 20, 392.337, 22.194, 0.647
2, 32, 80, 17, 389.781, 22.223, 0.648
2, 32, 100, 20, 376.604, 22.372, 0.652
2, 64, 100, 24, 371.548, 22.431, 0.667
2, 128, 100, 24, 371.056, 22.436, 0.669
