Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 803.712, 19.080, 0.346
1, 32, 40, 10, 445.910, 21.638, 0.557
1, 32, 60, 7, 445.851, 21.639, 0.557
1, 32, 80, 11, 438.198, 21.714, 0.567
1, 32, 100, 12, 417.262, 21.927, 0.570
1, 32, 160, 12, 415.713, 21.943, 0.581
1, 32, 180, 12, 415.696, 21.943, 0.581
1, 64, 100, 20, 398.274, 22.129, 0.584
2, 32, 40, 10, 127.894, 27.062, 0.712
2, 32, 100, 5, 126.304, 27.117, 0.706
2, 64, 40, 10, 123.633, 27.209, 0.728
2, 64, 100, 7, 121.322, 27.291, 0.730
2, 128, 100, 6, 120.429, 27.324, 0.732
2, 256, 100, 6, 120.185, 27.332, 0.733
