Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 40, 12, 154.740, 26.235, 0.586
1, 32, 60, 15, 147.525, 26.442, 0.603
1, 32, 120, 10, 145.719, 26.496, 0.607
1, 32, 140, 10, 145.692, 26.496, 0.607
1, 32, 160, 10, 145.348, 26.507, 0.608
1, 32, 180, 10, 145.298, 26.508, 0.608
1, 32, 200, 10, 145.292, 26.508, 0.608
1, 64, 60, 15, 143.185, 26.572, 0.612
1, 64, 80, 15, 142.766, 26.585, 0.614
1, 64, 120, 12, 140.560, 26.652, 0.620
1, 64, 140, 12, 140.545, 26.653, 0.620
1, 128, 120, 11, 140.424, 26.656, 0.619
1, 128, 140, 11, 140.409, 26.657, 0.619
1, 256, 120, 11, 139.806, 26.676, 0.620
1, 256, 140, 11, 139.792, 26.676, 0.620
2, 32, 40, 11, 110.963, 27.679, 0.713
2, 32, 100, 8, 109.394, 27.741, 0.715
2, 64, 40, 11, 107.174, 27.830, 0.728
2, 64, 60, 9, 107.097, 27.833, 0.729
2, 64, 80, 9, 106.977, 27.838, 0.731
2, 64, 100, 7, 105.933, 27.880, 0.728
2, 128, 100, 7, 105.145, 27.913, 0.731
2, 256, 100, 8, 103.977, 27.961, 0.736
