Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 100, 12, 126.977, 27.094, 0.628
1, 32, 120, 8, 125.916, 27.130, 0.636
1, 32, 140, 8, 125.886, 27.131, 0.636
1, 32, 160, 10, 124.618, 27.175, 0.639
1, 32, 180, 10, 124.582, 27.176, 0.640
1, 64, 60, 15, 123.903, 27.200, 0.642
1, 64, 120, 10, 121.909, 27.270, 0.648
1, 64, 140, 10, 121.907, 27.271, 0.648
1, 64, 160, 10, 121.711, 27.278, 0.648
1, 64, 180, 10, 121.679, 27.279, 0.648
1, 128, 120, 10, 120.714, 27.313, 0.651
1, 128, 140, 10, 120.709, 27.313, 0.651
1, 128, 160, 10, 120.529, 27.320, 0.651
1, 128, 180, 10, 120.496, 27.321, 0.651
2, 32, 100, 7, 95.248, 28.342, 0.735
2, 64, 40, 10, 94.069, 28.396, 0.746
2, 64, 80, 9, 93.528, 28.421, 0.751
2, 64, 100, 7, 92.372, 28.475, 0.749
2, 128, 60, 9, 92.179, 28.484, 0.754
2, 128, 80, 9, 92.164, 28.485, 0.756
2, 128, 100, 7, 91.089, 28.536, 0.753
2, 256, 100, 7, 90.945, 28.543, 0.754
