Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 473.209, 21.380, 0.370
1, 32, 40, 12, 135.054, 26.826, 0.615
1, 32, 80, 11, 131.310, 26.948, 0.624
1, 32, 100, 12, 129.146, 27.020, 0.625
1, 32, 120, 8, 128.090, 27.056, 0.632
1, 32, 140, 8, 128.056, 27.057, 0.632
1, 32, 160, 10, 126.762, 27.101, 0.636
1, 32, 180, 10, 126.726, 27.102, 0.636
1, 64, 60, 15, 125.926, 27.130, 0.639
1, 64, 100, 12, 125.814, 27.134, 0.634
1, 64, 120, 10, 123.905, 27.200, 0.645
1, 64, 140, 10, 123.895, 27.200, 0.645
1, 64, 160, 10, 123.686, 27.208, 0.645
1, 64, 180, 10, 123.660, 27.209, 0.645
1, 128, 120, 10, 123.629, 27.210, 0.646
1, 128, 140, 10, 123.620, 27.210, 0.646
1, 128, 160, 10, 123.428, 27.217, 0.647
1, 128, 180, 10, 123.401, 27.218, 0.647
1, 256, 120, 10, 122.712, 27.242, 0.647
1, 256, 140, 10, 122.702, 27.242, 0.647
1, 256, 160, 10, 122.509, 27.249, 0.648
1, 256, 180, 10, 122.481, 27.250, 0.648
2, 32, 40, 11, 97.871, 28.224, 0.733
2, 32, 100, 7, 96.491, 28.286, 0.733
2, 64, 40, 11, 94.813, 28.362, 0.747
2, 64, 60, 9, 94.680, 28.368, 0.748
2, 64, 80, 9, 94.635, 28.370, 0.749
2, 64, 100, 7, 93.474, 28.424, 0.747
2, 128, 100, 7, 92.858, 28.453, 0.751
2, 256, 100, 7, 91.905, 28.497, 0.753
