Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 1065.945, 17.853, 0.251
1, 32, 40, 20, 269.284, 23.829, 0.487
1, 32, 60, 15, 266.511, 23.874, 0.489
1, 32, 80, 15, 265.463, 23.891, 0.491
1, 32, 100, 16, 262.641, 23.937, 0.488
1, 32, 120, 12, 260.051, 23.980, 0.497
1, 32, 140, 12, 260.010, 23.981, 0.497
1, 32, 160, 12, 259.504, 23.989, 0.498
1, 32, 180, 12, 259.450, 23.990, 0.498
1, 32, 200, 12, 259.445, 23.990, 0.498
1, 64, 120, 12, 257.616, 24.021, 0.502
1, 64, 140, 12, 257.577, 24.022, 0.502
1, 64, 160, 12, 257.070, 24.030, 0.503
1, 64, 180, 12, 257.013, 24.031, 0.503
1, 128, 120, 16, 253.572, 24.090, 0.506
1, 128, 140, 16, 253.554, 24.090, 0.506
2, 32, 40, 15, 175.188, 25.696, 0.637
2, 32, 100, 13, 170.058, 25.825, 0.644
2, 64, 100, 13, 167.155, 25.900, 0.655
2, 128, 100, 12, 165.665, 25.939, 0.657
