Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 100, 12, 126.087, 27.124, 0.631
1, 32, 120, 8, 125.155, 27.156, 0.638
1, 32, 140, 8, 125.130, 27.157, 0.638
1, 32, 160, 10, 123.853, 27.202, 0.642
1, 32, 180, 10, 123.819, 27.203, 0.642
1, 64, 100, 11, 123.251, 27.223, 0.639
1, 64, 120, 10, 121.140, 27.298, 0.651
1, 64, 140, 10, 121.126, 27.298, 0.651
1, 64, 160, 10, 120.954, 27.305, 0.651
1, 64, 180, 10, 120.921, 27.306, 0.651
1, 128, 120, 10, 120.324, 27.327, 0.652
1, 128, 140, 10, 120.310, 27.328, 0.652
1, 128, 160, 10, 120.150, 27.334, 0.653
1, 128, 180, 10, 120.121, 27.335, 0.653
1, 256, 120, 10, 119.820, 27.345, 0.653
1, 256, 140, 10, 119.806, 27.346, 0.653
1, 256, 160, 10, 119.645, 27.352, 0.653
1, 256, 180, 10, 119.617, 27.353, 0.653
2, 32, 100, 7, 94.452, 28.379, 0.736
2, 64, 40, 11, 93.131, 28.440, 0.751
2, 64, 60, 9, 92.989, 28.446, 0.752
2, 64, 80, 9, 92.864, 28.452, 0.753
2, 64, 100, 7, 91.660, 28.509, 0.751
2, 128, 100, 7, 90.747, 28.552, 0.754
2, 256, 100, 7, 90.188, 28.579, 0.756
