Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 100, 12, 164.275, 25.975, 0.579
1, 32, 120, 12, 160.602, 26.073, 0.592
1, 32, 140, 12, 160.576, 26.074, 0.592
1, 64, 100, 15, 160.087, 26.087, 0.589
1, 64, 120, 12, 158.385, 26.134, 0.599
1, 64, 140, 12, 158.361, 26.134, 0.599
1, 128, 120, 12, 156.130, 26.196, 0.601
1, 128, 140, 12, 156.113, 26.196, 0.601
1, 128, 160, 12, 155.869, 26.203, 0.602
1, 128, 180, 12, 155.836, 26.204, 0.602
2, 32, 100, 8, 116.241, 27.477, 0.705
2, 64, 80, 9, 116.099, 27.483, 0.718
2, 64, 100, 8, 114.027, 27.561, 0.718
2, 128, 40, 12, 113.859, 27.567, 0.720
2, 128, 60, 10, 113.458, 27.582, 0.722
2, 128, 100, 9, 111.460, 27.660, 0.724
2, 256, 100, 9, 111.417, 27.661, 0.726
