Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 1987.337, 15.148, 0.256
1, 32, 40, 12, 1596.638, 16.099, 0.381
1, 32, 60, 10, 1586.481, 16.126, 0.384
1, 32, 100, 13, 1529.081, 16.286, 0.393
1, 64, 100, 14, 1525.480, 16.297, 0.398
1, 128, 100, 14, 1524.874, 16.298, 0.399
1, 256, 100, 14, 1524.627, 16.299, 0.399
2, 32, 40, 24, 339.167, 22.827, 0.683
2, 32, 80, 17, 338.997, 22.829, 0.682
2, 32, 100, 20, 324.851, 23.014, 0.687
2, 64, 100, 24, 320.355, 23.074, 0.702
2, 128, 100, 23, 319.489, 23.086, 0.704
3, 32, 40, 11, 205.152, 25.010, 0.724
3, 32, 60, 9, 204.478, 25.024, 0.724
3, 32, 100, 7, 200.561, 25.108, 0.724
3, 64, 60, 11, 199.825, 25.124, 0.742
3, 64, 100, 8, 196.817, 25.190, 0.741
3, 128, 100, 9, 195.706, 25.215, 0.746
