Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 1515.554, 16.325, 0.293
1, 32, 40, 12, 1130.564, 17.598, 0.450
1, 32, 60, 11, 1123.472, 17.625, 0.454
1, 32, 80, 11, 1122.926, 17.627, 0.455
1, 32, 100, 12, 1078.584, 17.802, 0.460
1, 64, 100, 14, 1073.829, 17.821, 0.468
1, 128, 100, 14, 1073.804, 17.822, 0.469
1, 256, 100, 14, 1073.242, 17.824, 0.470
2, 32, 40, 13, 240.688, 24.316, 0.701
2, 32, 60, 11, 240.408, 24.321, 0.702
2, 32, 100, 12, 231.115, 24.493, 0.707
2, 64, 100, 13, 227.117, 24.568, 0.723
2, 128, 100, 13, 226.715, 24.576, 0.726
2, 256, 100, 13, 225.902, 24.592, 0.727
3, 32, 40, 11, 162.601, 26.020, 0.736
3, 32, 60, 8, 161.937, 26.037, 0.734
3, 32, 100, 7, 159.748, 26.096, 0.735
3, 64, 40, 12, 158.657, 26.126, 0.752
3, 64, 60, 9, 158.443, 26.132, 0.752
3, 64, 100, 7, 155.952, 26.201, 0.752
3, 128, 100, 7, 155.692, 26.208, 0.756
3, 256, 100, 8, 155.546, 26.212, 0.759
