Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 40, 12, 137.318, 26.754, 0.601
1, 32, 80, 11, 132.998, 26.892, 0.611
1, 32, 100, 12, 129.989, 26.992, 0.612
1, 32, 120, 8, 129.672, 27.002, 0.620
1, 32, 140, 8, 129.645, 27.003, 0.620
1, 32, 160, 10, 128.199, 27.052, 0.624
1, 32, 180, 10, 128.151, 27.054, 0.624
1, 32, 200, 10, 128.146, 27.054, 0.624
1, 64, 60, 15, 126.022, 27.126, 0.628
1, 64, 100, 12, 125.669, 27.139, 0.622
1, 64, 120, 10, 124.161, 27.191, 0.633
1, 64, 140, 10, 124.142, 27.192, 0.633
1, 64, 160, 10, 123.874, 27.201, 0.634
1, 64, 180, 10, 123.847, 27.202, 0.634
1, 64, 200, 10, 123.843, 27.202, 0.634
1, 128, 120, 10, 123.538, 27.213, 0.634
1, 128, 140, 10, 123.519, 27.213, 0.634
1, 128, 160, 10, 123.276, 27.222, 0.635
1, 128, 180, 10, 123.254, 27.223, 0.635
1, 128, 200, 10, 123.249, 27.223, 0.635
1, 256, 120, 10, 122.812, 27.238, 0.635
1, 256, 140, 10, 122.792, 27.239, 0.635
1, 256, 160, 10, 122.541, 27.248, 0.636
1, 256, 180, 10, 122.520, 27.249, 0.636
1, 256, 200, 10, 122.516, 27.249, 0.636
2, 32, 40, 10, 100.336, 28.116, 0.722
2, 32, 100, 7, 98.565, 28.194, 0.724
2, 64, 40, 10, 96.525, 28.284, 0.738
2, 64, 100, 7, 94.741, 28.365, 0.740
2, 128, 100, 7, 93.700, 28.413, 0.744
2, 256, 100, 6, 92.982, 28.447, 0.743
