Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 473.209, 21.380, 0.370
1, 32, 40, 12, 118.855, 27.381, 0.630
1, 32, 80, 11, 115.302, 27.512, 0.639
1, 32, 100, 11, 112.664, 27.613, 0.638
1, 32, 120, 8, 112.318, 27.626, 0.647
1, 32, 140, 8, 112.292, 27.627, 0.647
1, 32, 160, 10, 111.111, 27.673, 0.651
1, 32, 180, 10, 111.082, 27.674, 0.651
1, 32, 200, 10, 111.077, 27.675, 0.651
1, 64, 100, 11, 109.492, 27.737, 0.647
1, 64, 120, 10, 108.273, 27.786, 0.660
1, 64, 140, 10, 108.265, 27.786, 0.660
1, 64, 160, 10, 108.088, 27.793, 0.660
1, 64, 180, 10, 108.068, 27.794, 0.660
1, 64, 200, 10, 108.064, 27.794, 0.660
1, 128, 120, 10, 107.938, 27.799, 0.661
1, 128, 140, 10, 107.930, 27.799, 0.661
1, 256, 120, 10, 106.845, 27.843, 0.662
1, 256, 140, 10, 106.836, 27.844, 0.662
2, 32, 40, 8, 91.104, 28.535, 0.733
2, 32, 60, 7, 90.618, 28.559, 0.737
2, 32, 100, 5, 89.247, 28.625, 0.733
2, 64, 40, 10, 87.515, 28.710, 0.754
2, 64, 100, 5, 86.132, 28.779, 0.748
2, 128, 100, 6, 85.094, 28.832, 0.757
2, 256, 100, 6, 83.894, 28.893, 0.759
