Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 1065.945, 17.853, 0.251
1, 32, 40, 20, 233.448, 24.449, 0.511
1, 32, 60, 15, 230.787, 24.499, 0.514
1, 32, 80, 15, 229.710, 24.519, 0.516
1, 32, 100, 16, 225.272, 24.604, 0.512
1, 32, 120, 12, 224.250, 24.623, 0.523
1, 32, 140, 12, 224.216, 24.624, 0.523
1, 32, 160, 12, 223.722, 24.634, 0.524
1, 32, 180, 12, 223.675, 24.635, 0.524
1, 32, 200, 12, 223.673, 24.635, 0.524
1, 64, 100, 16, 222.439, 24.659, 0.517
1, 64, 120, 12, 221.727, 24.673, 0.528
1, 64, 140, 12, 221.690, 24.673, 0.528
1, 64, 160, 12, 221.200, 24.683, 0.529
1, 64, 180, 12, 221.155, 24.684, 0.529
1, 64, 200, 12, 221.153, 24.684, 0.529
1, 128, 100, 16, 220.536, 24.696, 0.519
1, 128, 120, 12, 219.382, 24.719, 0.530
1, 128, 140, 12, 219.352, 24.719, 0.530
1, 128, 160, 12, 218.878, 24.729, 0.531
1, 128, 180, 12, 218.829, 24.730, 0.531
1, 128, 200, 12, 218.827, 24.730, 0.531
1, 256, 120, 15, 218.035, 24.746, 0.532
1, 256, 140, 15, 218.020, 24.746, 0.532
2, 32, 40, 15, 145.375, 26.506, 0.667
2, 32, 100, 11, 140.059, 26.668, 0.671
2, 64, 100, 11, 136.975, 26.764, 0.682
2, 128, 100, 11, 134.838, 26.833, 0.686
2, 256, 100, 11, 134.812, 26.834, 0.687
