Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 100, 11, 109.362, 27.742, 0.644
1, 32, 120, 8, 109.144, 27.751, 0.653
1, 32, 140, 8, 109.122, 27.752, 0.653
1, 32, 160, 8, 108.752, 27.766, 0.654
1, 32, 180, 8, 108.719, 27.768, 0.655
1, 32, 200, 8, 108.717, 27.768, 0.655
1, 64, 60, 13, 108.194, 27.789, 0.658
1, 64, 100, 11, 106.424, 27.860, 0.653
1, 64, 140, 8, 106.414, 27.861, 0.663
1, 64, 160, 9, 105.548, 27.896, 0.665
1, 64, 180, 9, 105.516, 27.898, 0.666
1, 64, 200, 9, 105.515, 27.898, 0.666
1, 128, 120, 10, 104.394, 27.944, 0.667
1, 128, 140, 10, 104.385, 27.944, 0.667
1, 256, 120, 10, 103.784, 27.969, 0.668
1, 256, 140, 10, 103.775, 27.970, 0.668
2, 32, 100, 5, 86.803, 28.745, 0.738
2, 64, 40, 10, 85.684, 28.802, 0.759
2, 64, 100, 5, 84.248, 28.875, 0.753
2, 128, 100, 5, 82.977, 28.941, 0.757
2, 256, 100, 6, 82.086, 28.988, 0.763
