Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 100, 12, 141.781, 26.615, 0.597
1, 32, 120, 12, 139.556, 26.683, 0.611
1, 32, 140, 12, 139.532, 26.684, 0.611
1, 64, 100, 14, 138.294, 26.723, 0.606
1, 64, 120, 12, 137.539, 26.747, 0.618
1, 64, 140, 12, 137.519, 26.747, 0.618
1, 128, 100, 14, 136.185, 26.790, 0.608
1, 128, 120, 12, 134.874, 26.832, 0.620
1, 128, 140, 12, 134.860, 26.832, 0.620
2, 32, 100, 7, 101.908, 28.049, 0.718
2, 64, 100, 7, 100.112, 28.126, 0.731
2, 128, 40, 11, 99.880, 28.136, 0.735
2, 128, 60, 9, 99.563, 28.150, 0.736
2, 128, 100, 7, 97.521, 28.240, 0.735
