Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 1349.557, 16.829, 0.196
1, 32, 40, 12, 571.917, 20.557, 0.333
1, 32, 60, 24, 519.386, 20.976, 0.356
1, 32, 120, 16, 506.488, 21.085, 0.362
1, 32, 140, 16, 506.462, 21.085, 0.362
1, 32, 160, 20, 503.403, 21.112, 0.364
1, 32, 180, 20, 503.394, 21.112, 0.364
1, 64, 80, 31, 503.135, 21.114, 0.365
1, 64, 120, 20, 501.102, 21.132, 0.366
1, 64, 140, 20, 501.089, 21.132, 0.366
1, 64, 160, 20, 500.156, 21.140, 0.366
2, 32, 40, 30, 278.680, 23.680, 0.553
2, 32, 80, 25, 276.504, 23.714, 0.556
2, 32, 100, 24, 275.069, 23.736, 0.558
2, 32, 120, 24, 273.197, 23.766, 0.562
2, 32, 140, 24, 272.985, 23.769, 0.562
2, 32, 160, 24, 272.145, 23.783, 0.563
2, 32, 180, 24, 271.905, 23.787, 0.563
2, 32, 200, 24, 271.902, 23.787, 0.563
2, 64, 80, 27, 271.608, 23.791, 0.567
2, 64, 100, 24, 271.130, 23.799, 0.567
2, 64, 120, 24, 269.241, 23.829, 0.571
2, 64, 140, 24, 268.999, 23.833, 0.571
2, 64, 160, 24, 268.083, 23.848, 0.572
2, 64, 180, 24, 267.865, 23.852, 0.573
2, 64, 200, 24, 267.862, 23.852, 0.573
2, 128, 160, 24, 267.219, 23.862, 0.575
2, 128, 180, 24, 267.055, 23.865, 0.576
2, 128, 200, 24, 267.050, 23.865, 0.576
2, 256, 160, 24, 266.991, 23.866, 0.576
2, 256, 180, 24, 266.848, 23.868, 0.577
2, 256, 200, 24, 266.842, 23.868, 0.577
3, 32, 40, 12, 232.921, 24.459, 0.634
3, 32, 60, 11, 232.306, 24.470, 0.635
3, 32, 80, 11, 232.032, 24.475, 0.637
3, 32, 100, 11, 231.287, 24.489, 0.638
3, 64, 40, 14, 227.708, 24.557, 0.649
3, 64, 80, 13, 226.796, 24.574, 0.653
3, 128, 40, 16, 225.689, 24.596, 0.655
3, 128, 100, 12, 225.249, 24.604, 0.657
