Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 5379.220, 10.824, 0.121
1, 32, 40, 6, 5134.481, 11.026, 0.130
1, 32, 100, 4, 5034.150, 11.112, 0.134
1, 64, 100, 4, 5032.961, 11.113, 0.134
2, 32, 40, 28, 3223.249, 13.048, 0.346
2, 32, 60, 23, 3218.356, 13.054, 0.346
2, 32, 80, 31, 3174.172, 13.114, 0.353
2, 32, 100, 45, 3098.726, 13.219, 0.362
2, 64, 100, 50, 3081.929, 13.243, 0.369
3, 32, 40, 50, 2203.469, 14.700, 0.494
3, 32, 60, 50, 2181.415, 14.743, 0.497
3, 32, 80, 50, 2176.972, 14.752, 0.498
3, 32, 100, 50, 2141.244, 14.824, 0.500
