Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 858.436, 18.794, 0.332
1, 32, 40, 12, 490.720, 21.222, 0.504
1, 32, 60, 15, 470.968, 21.401, 0.519
1, 32, 80, 15, 470.419, 21.406, 0.520
1, 32, 100, 18, 459.272, 21.510, 0.520
1, 64, 100, 18, 456.149, 21.540, 0.527
1, 256, 100, 20, 455.560, 21.545, 0.528
2, 32, 40, 12, 120.367, 27.326, 0.686
2, 32, 60, 11, 119.725, 27.349, 0.690
2, 32, 100, 11, 117.055, 27.447, 0.695
2, 64, 40, 12, 116.667, 27.461, 0.699
2, 64, 60, 11, 116.009, 27.486, 0.703
2, 64, 100, 9, 113.975, 27.563, 0.705
2, 128, 100, 9, 113.271, 27.590, 0.708
2, 256, 100, 9, 112.863, 27.605, 0.709
