Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 2636.151, 13.921, 0.126
1, 32, 40, 36, 1336.179, 16.872, 0.211
1, 32, 60, 37, 1291.882, 17.019, 0.218
1, 32, 80, 39, 1288.686, 17.029, 0.218
1, 32, 100, 36, 1279.102, 17.062, 0.220
1, 32, 120, 33, 1251.213, 17.157, 0.224
1, 32, 140, 34, 1250.713, 17.159, 0.224
1, 32, 160, 34, 1249.324, 17.164, 0.224
1, 32, 200, 34, 1249.324, 17.164, 0.224
2, 32, 40, 50, 630.366, 20.135, 0.412
2, 32, 60, 50, 621.349, 20.197, 0.417
2, 32, 80, 50, 617.723, 20.223, 0.419
2, 32, 100, 50, 612.021, 20.263, 0.421
2, 32, 120, 48, 608.373, 20.289, 0.424
2, 32, 140, 48, 607.871, 20.293, 0.424
2, 32, 160, 50, 604.755, 20.315, 0.426
2, 32, 200, 50, 604.216, 20.319, 0.426
2, 64, 160, 50, 602.844, 20.329, 0.430
2, 64, 180, 50, 602.279, 20.333, 0.430
2, 64, 200, 50, 602.275, 20.333, 0.430
3, 32, 40, 37, 442.774, 21.669, 0.541
3, 32, 60, 31, 442.022, 21.676, 0.541
3, 32, 80, 33, 438.971, 21.706, 0.544
3, 32, 100, 34, 437.037, 21.726, 0.546
3, 32, 120, 32, 436.220, 21.734, 0.546
3, 64, 80, 34, 434.929, 21.747, 0.555
3, 64, 100, 34, 433.380, 21.762, 0.556
3, 64, 120, 31, 433.186, 21.764, 0.556
3, 64, 140, 32, 432.307, 21.773, 0.557
3, 128, 180, 30, 431.779, 21.778, 0.559
3, 128, 200, 32, 430.656, 21.789, 0.560
