Log Started on 10-Mar-2018

Adding Noise
Optimizing for lena512_speckle_and_gauss_markov_high_optimal
Running polya filter for radius = 1, bins = 32, delta = 20.
Initial MSE: 2648.9759
Iteration 1 of 50 | Duration = 1.392 | MSE = 2636.1509
Iteration 2 of 50 | Duration = 1.226 | MSE = 2636.1509
Iteration 3 of 50 | Duration = 0.975 | MSE = 2636.1509
New optimal MSE: 2636.1509

Running polya filter for radius = 1, bins = 32, delta = 40.
Initial MSE: 2648.9759
Iteration 1 of 50 | Duration = 1.345 | MSE = 2636.1509
Iteration 2 of 50 | Duration = 1.240 | MSE = 2636.1509
Iteration 3 of 50 | Duration = 1.020 | MSE = 1774.1128
Iteration 4 of 50 | Duration = 1.054 | MSE = 1729.1058
Iteration 5 of 50 | Duration = 0.973 | MSE = 1719.5973
Iteration 6 of 50 | Duration = 1.153 | MSE = 1612.9328
Iteration 7 of 50 | Duration = 1.011 | MSE = 1552.2024
Iteration 8 of 50 | Duration = 0.970 | MSE = 1547.3202
Iteration 9 of 50 | Duration = 0.952 | MSE = 1470.9528
Iteration 10 of 50 | Duration = 1.033 | MSE = 1469.1897
Iteration 11 of 50 | Duration = 0.954 | MSE = 1466.4590
Iteration 12 of 50 | Duration = 0.962 | MSE = 1465.8918
Iteration 13 of 50 | Duration = 1.021 | MSE = 1461.6623
Iteration 14 of 50 | Duration = 0.972 | MSE = 1452.6360
Iteration 15 of 50 | Duration = 0.996 | MSE = 1436.3432
Iteration 16 of 50 | Duration = 1.037 | MSE = 1426.3332
Iteration 17 of 50 | Duration = 0.968 | MSE = 1420.2291
Iteration 18 of 50 | Duration = 1.006 | MSE = 1403.8656
Iteration 19 of 50 | Duration = 1.014 | MSE = 1389.6895
Iteration 20 of 50 | Duration = 0.968 | MSE = 1388.7522
Iteration 21 of 50 | Duration = 0.966 | MSE = 1362.3999
Iteration 22 of 50 | Duration = 1.023 | MSE = 1361.5065
Iteration 23 of 50 | Duration = 0.961 | MSE = 1360.0719
Iteration 24 of 50 | Duration = 0.984 | MSE = 1359.1243
Iteration 25 of 50 | Duration = 1.050 | MSE = 1358.0072
Iteration 26 of 50 | Duration = 1.009 | MSE = 1356.5315
Iteration 27 of 50 | Duration = 1.046 | MSE = 1355.7888
Iteration 28 of 50 | Duration = 1.079 | MSE = 1355.1799
Iteration 29 of 50 | Duration = 1.043 | MSE = 1353.9736
Iteration 30 of 50 | Duration = 1.008 | MSE = 1352.7053
Iteration 31 of 50 | Duration = 1.053 | MSE = 1350.2788
Iteration 32 of 50 | Duration = 0.991 | MSE = 1349.7468
Iteration 33 of 50 | Duration = 1.020 | MSE = 1342.8110
Iteration 34 of 50 | Duration = 1.055 | MSE = 1337.3736
Iteration 35 of 50 | Duration = 0.996 | MSE = 1336.5444
Iteration 36 of 50 | Duration = 0.961 | MSE = 1336.1793
New optimal MSE: 1336.1793

Running polya filter for radius = 1, bins = 32, delta = 60.
Initial MSE: 2648.9759
Iteration 1 of 50 | Duration = 1.272 | MSE = 2636.1509
Iteration 2 of 50 | Duration = 0.990 | MSE = 1774.1128
Iteration 3 of 50 | Duration = 0.950 | MSE = 1728.9542
Iteration 4 of 50 | Duration = 1.120 | MSE = 1610.8791
Iteration 5 of 50 | Duration = 0.950 | MSE = 1548.7783
Iteration 6 of 50 | Duration = 0.993 | MSE = 1472.2417
Iteration 7 of 50 | Duration = 0.951 | MSE = 1470.0485
Iteration 8 of 50 | Duration = 0.971 | MSE = 1465.5134
Iteration 9 of 50 | Duration = 0.977 | MSE = 1458.9775
Iteration 10 of 50 | Duration = 1.027 | MSE = 1439.0075
Iteration 11 of 50 | Duration = 1.004 | MSE = 1425.3732
Iteration 12 of 50 | Duration = 1.009 | MSE = 1404.0184
Iteration 13 of 50 | Duration = 0.936 | MSE = 1390.2938
Iteration 14 of 50 | Duration = 0.957 | MSE = 1362.4856
Iteration 15 of 50 | Duration = 0.971 | MSE = 1360.8496
Iteration 16 of 50 | Duration = 0.977 | MSE = 1359.1707
Iteration 17 of 50 | Duration = 0.958 | MSE = 1357.2414
Iteration 18 of 50 | Duration = 0.965 | MSE = 1355.6663
Iteration 19 of 50 | Duration = 0.986 | MSE = 1354.3883
Iteration 20 of 50 | Duration = 0.967 | MSE = 1352.1800
Iteration 21 of 50 | Duration = 0.988 | MSE = 1350.7440
Iteration 22 of 50 | Duration = 1.015 | MSE = 1342.9566
Iteration 23 of 50 | Duration = 0.973 | MSE = 1337.1261
Iteration 24 of 50 | Duration = 1.016 | MSE = 1335.9257
Iteration 25 of 50 | Duration = 0.998 | MSE = 1333.2064
Iteration 26 of 50 | Duration = 0.933 | MSE = 1327.3542
Iteration 27 of 50 | Duration = 0.963 | MSE = 1322.1276
Iteration 28 of 50 | Duration = 1.021 | MSE = 1315.2764
Iteration 29 of 50 | Duration = 1.017 | MSE = 1309.3157
Iteration 30 of 50 | Duration = 1.010 | MSE = 1296.2642
Iteration 31 of 50 | Duration = 0.992 | MSE = 1295.5670
Iteration 32 of 50 | Duration = 0.979 | MSE = 1294.9960
Iteration 33 of 50 | Duration = 1.005 | MSE = 1294.4292
Iteration 34 of 50 | Duration = 0.974 | MSE = 1293.5973
Iteration 35 of 50 | Duration = 0.965 | MSE = 1292.9496
Iteration 36 of 50 | Duration = 0.988 | MSE = 1292.3311
Iteration 37 of 50 | Duration = 0.974 | MSE = 1291.8818
New optimal MSE: 1291.8818

Running polya filter for radius = 1, bins = 32, delta = 80.
Initial MSE: 2648.9759
Iteration 1 of 50 | Duration = 1.301 | MSE = 2636.1509
Iteration 2 of 50 | Duration = 1.030 | MSE = 1774.1128
Iteration 3 of 50 | Duration = 0.973 | MSE = 1729.3073
Iteration 4 of 50 | Duration = 1.186 | MSE = 1611.1767
Iteration 5 of 50 | Duration = 0.991 | MSE = 1551.4917
Iteration 6 of 50 | Duration = 0.955 | MSE = 1474.1240
Iteration 7 of 50 | Duration = 1.052 | MSE = 1467.4851
Iteration 8 of 50 | Duration = 0.977 | MSE = 1458.6267
Iteration 9 of 50 | Duration = 0.961 | MSE = 1453.9563
Iteration 10 of 50 | Duration = 1.079 | MSE = 1434.0148
Iteration 11 of 50 | Duration = 0.984 | MSE = 1422.1930
Iteration 12 of 50 | Duration = 1.012 | MSE = 1401.5876
Iteration 13 of 50 | Duration = 1.139 | MSE = 1388.3845
Iteration 14 of 50 | Duration = 1.023 | MSE = 1360.9470
Iteration 15 of 50 | Duration = 1.018 | MSE = 1358.9437
Iteration 16 of 50 | Duration = 1.107 | MSE = 1356.4673
Iteration 17 of 50 | Duration = 1.099 | MSE = 1355.0811
Iteration 18 of 50 | Duration = 0.983 | MSE = 1352.7053
Iteration 19 of 50 | Duration = 0.975 | MSE = 1351.7566
Iteration 20 of 50 | Duration = 1.020 | MSE = 1350.0954
Iteration 21 of 50 | Duration = 1.061 | MSE = 1348.6572
Iteration 22 of 50 | Duration = 1.149 | MSE = 1340.7108
Iteration 23 of 50 | Duration = 1.051 | MSE = 1335.1463
Iteration 24 of 50 | Duration = 0.935 | MSE = 1333.9088
Iteration 25 of 50 | Duration = 1.042 | MSE = 1331.3966
Iteration 26 of 50 | Duration = 0.974 | MSE = 1325.7409
Iteration 27 of 50 | Duration = 1.022 | MSE = 1320.6069
Iteration 28 of 50 | Duration = 0.986 | MSE = 1313.8004
Iteration 29 of 50 | Duration = 1.061 | MSE = 1308.1078
Iteration 30 of 50 | Duration = 0.955 | MSE = 1294.9382
Iteration 31 of 50 | Duration = 1.135 | MSE = 1294.0234
Iteration 32 of 50 | Duration = 0.983 | MSE = 1293.2675
Iteration 33 of 50 | Duration = 0.988 | MSE = 1292.6912
Iteration 34 of 50 | Duration = 0.990 | MSE = 1291.5993
Iteration 35 of 50 | Duration = 1.031 | MSE = 1291.0878
Iteration 36 of 50 | Duration = 0.973 | MSE = 1290.4511
Iteration 37 of 50 | Duration = 1.044 | MSE = 1289.9102
Iteration 38 of 50 | Duration = 0.994 | MSE = 1289.0350
Iteration 39 of 50 | Duration = 0.960 | MSE = 1288.6857
New optimal MSE: 1288.6857

Running polya filter for radius = 1, bins = 32, delta = 100.
Initial MSE: 2648.9759
Iteration 1 of 50 | Duration = 2.371 | MSE = 2033.3759
Iteration 2 of 50 | Duration = 1.426 | MSE = 1709.3610
Iteration 3 of 50 | Duration = 1.172 | MSE = 1599.1829
Iteration 4 of 50 | Duration = 1.202 | MSE = 1547.3125
Iteration 5 of 50 | Duration = 1.049 | MSE = 1487.8307
Iteration 6 of 50 | Duration = 1.025 | MSE = 1443.3166
Iteration 7 of 50 | Duration = 1.116 | MSE = 1424.2295
Iteration 8 of 50 | Duration = 0.982 | MSE = 1417.6457
Iteration 9 of 50 | Duration = 1.011 | MSE = 1412.3805
Iteration 10 of 50 | Duration = 1.095 | MSE = 1403.6834
Iteration 11 of 50 | Duration = 0.947 | MSE = 1389.7592
Iteration 12 of 50 | Duration = 1.013 | MSE = 1378.7742
Iteration 13 of 50 | Duration = 0.997 | MSE = 1359.8227
Iteration 14 of 50 | Duration = 1.018 | MSE = 1345.4041
Iteration 15 of 50 | Duration = 0.926 | MSE = 1337.1504
Iteration 16 of 50 | Duration = 1.138 | MSE = 1334.5647
Iteration 17 of 50 | Duration = 1.037 | MSE = 1332.8903
Iteration 18 of 50 | Duration = 1.187 | MSE = 1331.7321
Iteration 19 of 50 | Duration = 0.975 | MSE = 1330.3864
Iteration 20 of 50 | Duration = 1.066 | MSE = 1329.4931
Iteration 21 of 50 | Duration = 0.913 | MSE = 1328.1093
Iteration 22 of 50 | Duration = 1.042 | MSE = 1324.6989
Iteration 23 of 50 | Duration = 0.911 | MSE = 1318.5078
Iteration 24 of 50 | Duration = 0.986 | MSE = 1316.1110
Iteration 25 of 50 | Duration = 0.950 | MSE = 1314.8613
Iteration 26 of 50 | Duration = 0.989 | MSE = 1312.2901
Iteration 27 of 50 | Duration = 0.942 | MSE = 1306.5915
Iteration 28 of 50 | Duration = 0.995 | MSE = 1303.1812
Iteration 29 of 50 | Duration = 0.961 | MSE = 1294.6563
Iteration 30 of 50 | Duration = 0.995 | MSE = 1287.4183
Iteration 31 of 50 | Duration = 0.996 | MSE = 1282.3903
Iteration 32 of 50 | Duration = 0.993 | MSE = 1281.1862
Iteration 33 of 50 | Duration = 0.958 | MSE = 1280.6187
Iteration 34 of 50 | Duration = 0.991 | MSE = 1280.0859
