Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 731.827, 19.487, 0.283
1, 32, 40, 12, 241.984, 24.293, 0.483
1, 32, 60, 15, 226.342, 24.583, 0.503
1, 32, 80, 15, 225.541, 24.599, 0.504
1, 32, 120, 12, 221.586, 24.675, 0.510
1, 32, 140, 12, 221.549, 24.676, 0.510
1, 32, 160, 12, 221.009, 24.687, 0.510
1, 32, 180, 12, 220.988, 24.687, 0.510
1, 64, 120, 16, 215.566, 24.795, 0.519
1, 64, 140, 16, 215.554, 24.795, 0.519
1, 64, 160, 16, 215.326, 24.800, 0.520
1, 64, 180, 16, 215.315, 24.800, 0.520
1, 128, 120, 16, 215.017, 24.806, 0.520
1, 128, 160, 16, 214.769, 24.811, 0.520
1, 128, 180, 16, 214.755, 24.811, 0.521
2, 32, 40, 16, 143.033, 26.576, 0.658
2, 32, 100, 11, 142.263, 26.600, 0.660
2, 32, 160, 10, 142.124, 26.604, 0.663
2, 32, 180, 10, 142.102, 26.605, 0.663
2, 32, 200, 10, 142.098, 26.605, 0.663
2, 64, 40, 16, 139.145, 26.696, 0.670
2, 64, 60, 13, 138.937, 26.703, 0.671
2, 64, 80, 13, 138.636, 26.712, 0.673
2, 64, 100, 12, 138.095, 26.729, 0.674
2, 64, 120, 12, 137.666, 26.743, 0.677
2, 64, 140, 12, 137.659, 26.743, 0.678
2, 128, 80, 13, 137.474, 26.749, 0.677
2, 128, 100, 12, 136.816, 26.769, 0.678
2, 128, 120, 12, 136.424, 26.782, 0.681
2, 128, 140, 12, 136.423, 26.782, 0.681
2, 256, 120, 12, 136.236, 26.788, 0.683
2, 256, 140, 12, 136.232, 26.788, 0.683
3, 64, 40, 9, 136.230, 26.788, 0.721
3, 64, 100, 4, 136.180, 26.790, 0.713
3, 128, 40, 11, 135.315, 26.817, 0.728
3, 128, 60, 7, 135.101, 26.824, 0.725
3, 128, 100, 4, 134.572, 26.841, 0.718
3, 256, 100, 5, 134.361, 26.848, 0.725
